                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1195,                0.99403,                0.93394,                0.94112,                0.93489,                0.97011,                0.65064,                 1.1444,                0.59221,                0.94376,             0.00055483,             0.00055483,             0.00055483
                      2,                0.92174,                0.53212,                0.87331,                0.93502,                0.93536,                0.97631,                 0.6949,                0.99563,                0.53871,                 0.9117,              0.0010739,              0.0010739,              0.0010739
                      3,                0.89116,                0.49206,                0.86738,                0.95635,                0.93022,                0.98046,                0.72747,                0.96169,                0.49154,                0.90942,              0.0015562,              0.0015562,              0.0015562
                      4,                0.86995,                0.46824,                0.86257,                 0.9557,                0.94525,                0.98206,                0.72637,                0.94797,                 0.4723,                0.89845,               0.001502,               0.001502,               0.001502
                      5,                0.84817,                0.44839,                0.85821,                0.95251,                 0.9551,                0.98332,                0.73736,                0.93315,                0.43466,                0.89338,               0.001447,               0.001447,               0.001447
                      6,                0.83712,                0.43972,                0.85652,                0.95828,                0.95234,                0.98274,                0.74877,                0.89091,                0.43082,                0.88677,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82148,                0.42703,                0.85276,                0.96299,                0.94168,                0.98319,                0.73856,                0.91912,                 0.4373,                   0.89,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81199,                0.42098,                0.85139,                0.96226,                0.95132,                0.98494,                0.74692,                0.90387,                0.41559,                0.88894,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80386,                0.41284,                0.85004,                0.95203,                0.94817,                 0.9849,                 0.7315,                0.93158,                0.44099,                0.89693,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79593,                0.40819,                0.84885,                0.95921,                0.95258,                0.98533,                0.75886,                0.87313,                0.40598,                0.87984,              0.0011719,              0.0011719,              0.0011719
                     11,                0.78855,                0.40121,                0.84661,                0.96194,                0.95587,                0.98681,                0.75842,                0.87763,                0.40505,                0.88326,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78539,                0.39787,                0.84676,                0.95672,                0.95179,                0.98458,                0.74421,                0.91895,                0.41918,                0.89169,              0.0010619,              0.0010619,              0.0010619
                     13,                0.78331,                 0.3942,                0.84631,                0.96001,                0.95909,                 0.9857,                0.76823,                0.84921,                0.38814,                0.87412,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77305,                0.39034,                0.84554,                0.96753,                 0.9545,                0.98806,                0.76064,                0.88394,                0.39556,                0.88361,             0.00095186,             0.00095186,             0.00095186
                     15,                0.76953,                0.38708,                0.84406,                0.96083,                0.96148,                0.98647,                0.77307,                0.85258,                0.37844,                0.87526,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76519,                0.38303,                0.84338,                0.96153,                0.95614,                  0.988,                 0.7615,                0.88137,                0.39313,                0.88214,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76112,                0.38022,                 0.8422,                0.96211,                  0.958,                0.98805,                0.77115,                0.85428,                0.37627,                0.87574,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75757,                0.37593,                0.84222,                0.95961,                0.96104,                0.98694,                0.77899,                0.84105,                0.36784,                0.87219,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75354,                0.37397,                0.84182,                0.96308,                0.95918,                 0.9882,                0.75915,                 0.8947,                0.37851,                0.88455,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74683,                 0.3702,                0.84003,                0.96591,                0.95355,                0.98719,                0.76861,                 0.8656,                0.37934,                0.87749,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73275,                0.35723,                0.83894,                0.96721,                0.95616,                0.98827,                0.76942,                0.87752,                0.37076,                0.87882,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72168,                0.35046,                0.83773,                0.96845,                0.95173,                  0.988,                0.77429,                0.85437,                0.37032,                0.87527,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71556,                0.34656,                0.83598,                0.96617,                0.96026,                0.98934,                0.78736,                0.82338,                0.35772,                0.86778,             0.00045676,             0.00045676,             0.00045676
                     24,                0.70908,                0.34195,                0.83572,                0.96769,                0.95883,                 0.9896,                0.78849,                0.82336,                0.35314,                0.86736,             0.00040175,             0.00040175,             0.00040175
                     25,                 0.7045,                0.33849,                0.83401,                 0.9654,                0.95801,                0.98873,                0.78769,                0.81824,                0.35279,                0.86587,             0.00034674,             0.00034674,             0.00034674
                     26,                0.70018,                0.33566,                0.83335,                 0.9631,                0.96206,                0.98929,                0.78997,                0.81768,                0.35129,                0.86685,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69466,                0.33093,                 0.8334,                0.96669,                0.95892,                0.98916,                 0.7899,                 0.8231,                0.35206,                0.86754,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69093,                0.32896,                0.83189,                0.96547,                0.95965,                0.98895,                0.78882,                0.82507,                0.35029,                0.86757,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68606,                0.32503,                0.83202,                0.96729,                0.95939,                0.98916,                 0.7893,                0.82454,                0.34735,                0.86785,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68341,                0.32269,                0.83115,                0.96537,                0.96122,                0.98894,                 0.7917,                0.81446,                0.34537,                  0.866,             7.1681e-05,             7.1681e-05,             7.1681e-05
