                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1112,                0.98583,                0.93217,                0.86203,                0.92286,                0.86781,                0.50291,                 1.4499,                0.82182,                 1.0346,             0.00055482,             0.00055482,             0.00055482
                      2,                0.91608,                0.52925,                 0.8727,                0.86592,                0.93639,                0.91416,                0.65149,                 1.0459,                0.61073,                0.92316,              0.0010738,              0.0010738,              0.0010738
                      3,                0.89122,                0.49065,                0.86737,                0.86792,                0.89679,                0.91257,                0.62357,                 1.1586,                0.67598,                0.97482,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87397,                0.46863,                0.86349,                0.87069,                0.94815,                0.90355,                0.64703,                 1.0474,                0.57408,                0.91855,               0.001502,               0.001502,               0.001502
                      5,                0.84919,                0.44954,                0.85825,                0.87185,                0.95292,                0.90571,                0.65589,                 1.0267,                0.56286,                 0.9142,               0.001447,               0.001447,               0.001447
                      6,                 0.8352,                 0.4384,                0.85609,                0.87319,                0.94568,                0.91315,                0.67898,                0.96323,                0.56842,                 0.9097,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82288,                0.42807,                0.85381,                 0.8693,                0.95564,                0.91116,                 0.6964,                0.90191,                0.52424,                0.88615,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81375,                0.41842,                0.85166,                0.87604,                0.94596,                0.90948,                0.66516,                  1.041,                0.55041,                0.91448,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80462,                0.41242,                0.85055,                0.88106,                 0.9484,                0.90708,                0.68786,                0.90013,                0.52203,                0.88722,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79865,                0.40729,                0.84897,                0.87668,                0.96331,                0.90514,                0.70515,                0.86505,                0.48484,                0.87574,              0.0011719,              0.0011719,              0.0011719
                     11,                0.79326,                0.40237,                0.84798,                0.87804,                 0.9543,                0.91047,                0.70142,                0.88087,                0.50643,                0.87984,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78526,                0.39909,                 0.8471,                0.87342,                0.96108,                0.91865,                0.71822,                0.87789,                0.48178,                0.87946,              0.0010619,              0.0010619,              0.0010619
                     13,                0.77774,                0.39203,                0.84571,                0.88331,                 0.9515,                0.91674,                0.70533,                0.90183,                0.49642,                0.88641,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77387,                0.38866,                0.84505,                0.88029,                0.95665,                0.91624,                0.71612,                0.87826,                0.47418,                0.87857,             0.00095186,             0.00095186,             0.00095186
                     15,                0.77164,                 0.3861,                 0.8448,                0.87659,                0.95855,                 0.9142,                 0.7186,                0.86203,                0.47151,                0.87484,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76697,                0.38405,                0.84424,                0.87823,                0.96069,                0.91675,                0.71019,                0.89632,                0.47508,                0.88319,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76115,                0.37889,                0.84254,                0.88189,                0.96056,                0.92502,                0.73533,                0.82596,                0.46227,                0.87014,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75736,                0.37657,                0.84267,                0.87463,                0.96772,                0.91932,                0.72211,                0.85254,                0.46499,                0.87065,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75287,                0.37242,                0.84168,                0.88087,                0.96237,                0.92431,                0.74085,                0.80368,                0.44974,                0.86333,              0.0006768,              0.0006768,              0.0006768
                     20,                0.75093,                0.37185,                0.84096,                 0.8849,                0.96086,                0.92586,                0.73724,                0.82362,                0.46308,                0.86882,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73121,                0.35638,                 0.8397,                0.87957,                0.96115,                0.92248,                0.74401,                0.78061,                0.45427,                0.85966,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72103,                0.34852,                0.83811,                 0.8837,                0.96172,                0.91973,                0.73494,                0.81026,                0.45426,                0.86604,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71526,                0.34523,                0.83675,                 0.8831,                 0.9627,                0.92512,                0.74937,                0.78768,                0.44014,                0.86019,             0.00045676,             0.00045676,             0.00045676
                     24,                0.70987,                0.34208,                0.83576,                0.88066,                0.96483,                0.92633,                0.74533,                0.80188,                 0.4434,                0.86352,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70416,                0.33773,                 0.8344,                0.88293,                0.96215,                 0.9267,                0.75374,                0.77707,                0.43145,                0.85684,             0.00034674,             0.00034674,             0.00034674
                     26,                0.70135,                0.33425,                0.83406,                 0.8826,                0.96579,                 0.9315,                 0.7579,                0.77119,                0.43058,                0.85691,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69532,                0.33075,                 0.8335,                0.88107,                 0.9658,                0.93183,                0.76234,                0.75509,                 0.4242,                0.85251,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69235,                 0.3282,                0.83257,                0.88427,                0.96813,                0.93533,                0.76575,                0.75229,                0.42777,                0.85306,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68736,                0.32484,                 0.8316,                 0.8774,                0.96904,                0.93815,                0.76826,                 0.7588,                0.42254,                0.85278,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68281,                0.32129,                0.83109,                0.88423,                0.96645,                0.93471,                0.76523,                 0.7551,                0.42623,                0.85255,             7.1681e-05,             7.1681e-05,             7.1681e-05
