                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1117,                0.98747,                0.93241,                0.63817,                0.79531,                0.70115,                0.42551,                   1.25,                 0.7608,                 1.0255,             0.00055483,             0.00055483,             0.00055483
                      2,                0.92127,                0.53415,                0.87334,                  0.623,                  0.712,                0.65601,                0.37394,                 1.3432,                0.81434,                 1.0823,              0.0010739,              0.0010739,              0.0010739
                      3,                0.89495,                0.49159,                0.86824,                0.70517,                0.74105,                0.70925,                0.43069,                 1.2283,                0.73707,                 1.0368,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87737,                0.47491,                0.86432,                0.70837,                  0.829,                0.72895,                0.49228,                  1.057,                0.67179,                0.98839,               0.001502,               0.001502,               0.001502
                      5,                0.85263,                0.44956,                0.85931,                 0.7273,                0.84697,                0.77899,                0.50464,                 1.1136,                0.62458,                0.99995,               0.001447,               0.001447,               0.001447
                      6,                0.83596,                 0.4376,                0.85642,                0.72512,                0.85916,                0.77271,                0.51849,                 1.0618,                0.57523,                0.97945,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82407,                0.42846,                0.85333,                0.68412,                  0.906,                0.79464,                0.56193,                 1.0154,                0.57183,                0.97673,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81564,                0.42165,                0.85176,                0.72732,                0.81417,                0.75471,                0.51293,                 1.0802,                0.64573,                0.98294,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80711,                0.41441,                0.85078,                0.73781,                  0.851,                0.78752,                0.54455,                 1.0333,                0.55816,                0.96682,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79857,                0.40634,                 0.8492,                0.74013,                  0.843,                0.78788,                 0.5457,                 1.0489,                0.55752,                0.97912,              0.0011719,              0.0011719,              0.0011719
                     11,                0.79039,                0.40262,                0.84766,                0.74696,                  0.849,                0.79992,                0.54545,                 1.0162,                0.55358,                0.96812,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78742,                0.39902,                0.84713,                0.75044,                0.84644,                0.80205,                0.56819,                0.98089,                0.54631,                0.95904,              0.0010619,              0.0010619,              0.0010619
                     13,                0.78111,                0.39374,                0.84608,                 0.7245,                  0.882,                0.78419,                0.55056,                 1.0062,                0.53892,                0.96517,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77378,                0.39035,                0.84557,                0.72648,                0.85304,                0.79729,                0.55255,                  1.058,                0.55847,                0.97564,             0.00095186,             0.00095186,             0.00095186
                     15,                0.77063,                0.38725,                0.84487,                0.72671,                0.87971,                0.78554,                0.54732,                 1.0351,                0.55165,                0.96874,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76659,                0.38332,                0.84369,                0.72535,                  0.851,                0.78807,                0.55568,                 1.0105,                0.52141,                0.96474,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76329,                0.38041,                0.84318,                0.73184,                0.85079,                0.78254,                0.56531,                0.96622,                0.51855,                0.95966,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75536,                0.37603,                0.84195,                0.73816,                0.86451,                0.80567,                0.58002,                0.94744,                 0.5076,                0.95287,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75449,                0.37505,                 0.8419,                0.75072,                  0.856,                0.78993,                0.57418,                0.95611,                0.50662,                0.95257,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74785,                0.37106,                0.84042,                0.75093,                0.87592,                0.80188,                0.56596,                0.99969,                0.51605,                0.96119,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73006,                0.35611,                0.83904,                0.74035,                  0.854,                0.81145,                0.59311,                0.96359,                0.50661,                0.95371,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72067,                0.34967,                0.83768,                0.77091,                0.80031,                0.80329,                0.57577,                0.96191,                0.50619,                0.94996,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71539,                0.34605,                0.83665,                0.74897,                0.87769,                 0.8128,                0.58515,                0.94089,                0.49792,                0.94157,             0.00045676,             0.00045676,             0.00045676
                     24,                0.71005,                0.34206,                0.83593,                0.77163,                0.81824,                0.80795,                0.57122,                0.99953,                0.50885,                0.95492,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70414,                0.33798,                 0.8348,                0.74286,                   0.86,                0.81263,                0.59164,                0.95973,                 0.4943,                0.94791,             0.00034674,             0.00034674,             0.00034674
                     26,                0.70105,                0.33503,                0.83445,                0.72996,                0.87985,                0.81253,                0.60694,                0.91642,                0.47208,                0.93549,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69502,                 0.3314,                0.83288,                0.72368,                   0.88,                0.81073,                0.59203,                 0.9292,                 0.4765,                0.93938,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69225,                0.32826,                0.83242,                0.74912,                0.87524,                0.81569,                0.58939,                 0.9515,                0.48026,                0.94492,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68616,                0.32479,                0.83089,                0.73811,                0.89045,                0.81699,                0.60414,                0.91913,                0.47731,                0.93568,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68236,                0.32225,                0.83121,                0.72923,                  0.874,                0.82038,                0.60771,                0.91734,                0.46982,                0.93537,             7.1681e-05,             7.1681e-05,             7.1681e-05
