                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1097,                0.98648,                0.93076,                0.79463,                0.86871,                0.89134,                0.63741,                0.99513,                0.65728,                0.91098,             0.00055481,             0.00055481,             0.00055481
                      2,                0.92125,                0.53054,                0.87354,                0.83749,                 0.8841,                0.93179,                0.68748,                0.93142,                0.58869,                0.89626,              0.0010738,              0.0010738,              0.0010738
                      3,                 0.8891,                 0.4887,                0.86686,                0.85454,                0.87766,                0.93752,                0.69966,                0.90212,                0.54984,                0.88775,              0.0015562,              0.0015562,              0.0015562
                      4,                0.86674,                0.46464,                0.86198,                0.84027,                0.86489,                0.92426,                0.68438,                0.91768,                 0.5702,                0.89269,               0.001502,               0.001502,               0.001502
                      5,                0.84915,                0.44778,                0.85881,                0.84487,                 0.8899,                0.93437,                0.69607,                0.89041,                0.53558,                0.88507,               0.001447,               0.001447,               0.001447
                      6,                 0.8292,                 0.4325,                0.85531,                 0.8611,                0.89227,                0.94655,                0.70941,                0.89013,                0.50859,                0.88205,              0.0013919,              0.0013919,              0.0013919
                      7,                  0.822,                0.42637,                0.85331,                0.86115,                0.88676,                0.94598,                0.71837,                0.86105,                 0.5111,                0.87879,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81449,                0.41937,                0.85132,                0.85847,                0.89582,                0.94669,                 0.7244,                0.84689,                0.49876,                 0.8751,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80715,                0.41263,                0.85041,                0.86309,                0.89495,                 0.9483,                0.72324,                0.84697,                0.48632,                0.87301,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79554,                0.40512,                0.84851,                 0.8671,                0.89395,                0.95038,                0.73349,                0.83342,                0.48393,                 0.8703,              0.0011719,              0.0011719,              0.0011719
                     11,                0.78942,                0.40012,                0.84745,                0.87184,                0.89503,                0.95181,                0.73872,                0.83177,                0.47357,                0.87009,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78535,                0.39707,                0.84732,                0.87586,                0.89568,                0.95299,                0.73716,                0.83547,                0.47098,                0.87234,              0.0010619,              0.0010619,              0.0010619
                     13,                0.78191,                0.39215,                0.84642,                0.86216,                0.89215,                0.94877,                0.73548,                 0.8254,                 0.4677,                0.86809,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77327,                 0.3875,                 0.8451,                0.87062,                0.89986,                0.95338,                0.74477,                0.81956,                0.45974,                 0.8677,             0.00095186,             0.00095186,             0.00095186
                     15,                 0.7715,                 0.3855,                0.84442,                0.88025,                 0.8977,                0.95666,                0.74609,                0.81276,                0.45177,                 0.8657,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76254,                0.38075,                0.84302,                0.88079,                0.89475,                0.95567,                0.74732,                0.81341,                0.44986,                0.86551,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76023,                0.37767,                0.84215,                0.87057,                0.90208,                0.95518,                0.74753,                 0.8119,                0.44945,                0.86509,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75381,                0.37413,                0.84173,                0.87549,                 0.8999,                0.95672,                0.74921,                0.80875,                0.44453,                0.86372,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75143,                0.37114,                0.84112,                0.87849,                0.89534,                0.95487,                0.74603,                0.81852,                0.44781,                0.86689,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74644,                 0.3682,                0.84088,                0.87556,                0.90053,                0.95642,                0.74941,                0.80372,                0.44313,                0.86284,             0.00062179,             0.00062179,             0.00062179
                     21,                0.72743,                0.35329,                0.83886,                0.87022,                0.90734,                0.95625,                0.75217,                0.79846,                0.43963,                 0.8628,             0.00056678,             0.00056678,             0.00056678
                     22,                0.71889,                0.34663,                0.83748,                0.87381,                 0.9066,                0.95738,                0.75508,                0.79664,                0.43594,                0.86218,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71327,                0.34353,                  0.837,                0.87528,                0.90463,                0.95549,                0.75523,                0.78566,                0.43493,                0.86002,             0.00045676,             0.00045676,             0.00045676
                     24,                 0.7077,                0.33856,                0.83559,                0.87433,                 0.9074,                0.95838,                 0.7571,                0.79063,                0.42828,                0.86096,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70261,                0.33578,                0.83561,                0.88282,                0.90473,                0.95929,                0.75688,                0.79145,                0.42873,                0.86095,             0.00034674,             0.00034674,             0.00034674
                     26,                0.69818,                0.33288,                0.83354,                0.87816,                0.90558,                0.95774,                 0.7588,                0.78103,                0.42596,                 0.8588,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69475,                0.32916,                0.83285,                0.88167,                0.90631,                0.96042,                 0.7628,                0.77856,                0.42216,                0.85878,             0.00023671,             0.00023671,             0.00023671
                     28,                0.68995,                0.32627,                0.83198,                0.88272,                0.90473,                0.96008,                0.76223,                0.77967,                0.42089,                0.85883,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68365,                0.32209,                0.83092,                0.87776,                0.90806,                0.95955,                0.76237,                0.77741,                0.41989,                 0.8581,             0.00012669,             0.00012669,             0.00012669
                     30,                0.67949,                0.31855,                0.83051,                0.88605,                0.90301,                0.96058,                0.76486,                0.77607,                0.41617,                0.85809,             7.1681e-05,             7.1681e-05,             7.1681e-05
