                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1145,                0.98777,                0.93313,                0.90475,                0.93469,                0.96559,                0.70553,                0.94487,                0.57766,                 0.9184,             0.00055483,             0.00055483,             0.00055483
                      2,                0.92219,                0.53356,                0.87384,                0.94389,                0.93899,                0.97172,                0.72714,                0.90871,                0.49886,                0.91606,              0.0010739,              0.0010739,              0.0010739
                      3,                0.88921,                0.49233,                 0.8674,                0.93763,                0.91714,                0.97012,                0.72719,                0.90046,                0.50856,                0.91536,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87032,                0.46699,                  0.863,                0.96479,                0.93367,                0.97712,                0.75549,                0.84802,                0.44173,                0.89985,               0.001502,               0.001502,               0.001502
                      5,                0.85015,                0.45005,                0.85923,                0.93427,                0.94881,                0.97563,                0.73871,                0.90749,                0.45411,                0.91484,               0.001447,               0.001447,               0.001447
                      6,                0.83278,                0.43665,                0.85528,                0.96324,                0.94138,                0.97877,                0.77076,                0.81856,                0.41158,                0.89036,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82775,                0.42994,                0.85437,                0.96899,                0.94231,                0.98002,                 0.7619,                0.84181,                0.41182,                0.89474,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81667,                0.42178,                0.85241,                0.96145,                0.93791,                0.98063,                0.76752,                0.84257,                0.41163,                0.89106,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80816,                0.41516,                0.85086,                0.97262,                0.93417,                0.98214,                0.75195,                0.90116,                0.42018,                0.91022,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79907,                0.40815,                0.84944,                0.96341,                0.95144,                0.98314,                0.77697,                0.82354,                0.37877,                0.88735,              0.0011719,              0.0011719,              0.0011719
                     11,                0.79179,                0.40373,                0.84793,                0.97471,                0.94467,                0.98196,                0.76873,                0.82747,                0.38091,                 0.8891,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78666,                0.40008,                0.84731,                0.96912,                0.95022,                 0.9826,                0.79074,                0.77633,                0.37412,                0.87678,              0.0010619,              0.0010619,              0.0010619
                     13,                 0.7811,                0.39445,                0.84582,                0.97067,                0.94145,                0.98208,                0.77573,                0.81075,                0.37444,                0.88661,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77573,                0.39113,                0.84546,                0.95839,                0.95232,                0.98446,                0.78034,                0.79893,                0.37477,                0.88354,             0.00095186,             0.00095186,             0.00095186
                     15,                0.76871,                0.38607,                0.84375,                0.96396,                0.94429,                0.98622,                0.78405,                0.79628,                0.38274,                0.88132,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76518,                0.38398,                0.84368,                0.96452,                0.94498,                 0.9859,                0.80182,                0.74693,                0.35648,                0.87016,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76215,                0.38078,                0.84308,                0.96003,                0.94405,                0.98506,                0.79241,                0.77578,                0.37425,                0.87678,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75449,                 0.3762,                0.84202,                0.96593,                0.94694,                  0.986,                  0.792,                0.77172,                0.35413,                0.87311,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75315,                0.37376,                 0.8418,                0.96327,                0.94446,                0.98377,                0.79477,                0.76684,                0.35638,                0.87362,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74936,                 0.3707,                0.84049,                0.96003,                0.95454,                 0.9871,                0.80139,                 0.7517,                0.35148,                0.86887,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73244,                0.35679,                0.84028,                0.96413,                0.95316,                 0.9865,                 0.7911,                0.77617,                0.35253,                0.87521,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72036,                0.34996,                0.83721,                0.96007,                 0.9558,                0.98546,                0.80048,                0.75621,                0.34822,                 0.8715,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71598,                0.34621,                0.83658,                0.96032,                 0.9504,                0.98687,                0.80676,                 0.7389,                0.34054,                0.86739,             0.00045676,             0.00045676,             0.00045676
                     24,                0.71064,                0.34217,                0.83557,                0.97501,                0.94783,                0.98725,                0.80411,                0.75017,                0.34182,                0.86864,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70542,                0.33766,                0.83546,                0.95716,                 0.9557,                0.98743,                0.80266,                0.75425,                0.34464,                0.86994,             0.00034674,             0.00034674,             0.00034674
                     26,                0.70019,                0.33504,                0.83433,                0.96616,                0.95513,                0.98814,                0.80623,                0.73709,                0.33791,                0.86689,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69654,                0.33217,                0.83304,                0.95809,                0.96344,                0.98814,                0.81072,                 0.7285,                0.33139,                0.86383,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69169,                0.32837,                0.83244,                0.97314,                0.93919,                0.98725,                0.80899,                0.73559,                0.33382,                0.86622,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68657,                0.32536,                0.83152,                0.95503,                0.96194,                0.98738,                0.81175,                0.72734,                0.32816,                0.86393,             0.00012669,             0.00012669,             0.00012669
                     30,                 0.6821,                0.32154,                0.83125,                0.96111,                0.95662,                0.98808,                0.81203,                0.72792,                0.32732,                0.86404,             7.1681e-05,             7.1681e-05,             7.1681e-05
