                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01993,                 3.0694,                 1.3358,                0.82716,                0.83107,                0.89694,                0.62925,                0.01474,                 1.3178,                 1.2222,             0.00055359,             0.00055359,             0.00055359
                      2,                0.01612,                  1.405,                 1.2246,                0.89236,                0.89631,                0.94904,                 0.7043,                0.01315,                 1.0665,                  1.186,              0.0010915,              0.0010915,              0.0010915
                      3,                0.01573,                 1.2796,                 1.2154,                0.91359,                0.89839,                0.95958,                0.71741,                0.01291,                0.99108,                 1.1869,              0.0016116,              0.0016116,              0.0016116
                      4,                0.01541,                 1.2121,                 1.2104,                0.89943,                0.87357,                0.94127,                0.68692,                0.01398,                 1.1748,                 1.2397,               0.001587,               0.001587,               0.001587
                      5,                0.01498,                 1.1467,                 1.2001,                0.91126,                0.89135,                0.95299,                0.71931,                0.01316,                 1.1119,                 1.2059,              0.0015603,              0.0015603,              0.0015603
                      6,                0.01464,                  1.093,                 1.1921,                0.91508,                0.90838,                0.96179,                 0.7253,                0.01323,                  1.148,                 1.2092,              0.0015336,              0.0015336,              0.0015336
                      7,                0.01441,                 1.0682,                 1.1903,                0.92821,                0.91686,                0.96943,                0.73917,                0.01269,                0.91612,                 1.1904,               0.001507,               0.001507,               0.001507
                      8,                0.01417,                 1.0326,                 1.1847,                0.93629,                0.93196,                0.97656,                0.76178,                0.01182,                0.80761,                 1.1665,              0.0014803,              0.0014803,              0.0014803
                      9,                0.01403,                 1.0148,                 1.1822,                0.94645,                0.92571,                0.97745,                0.76534,                0.01172,                0.80038,                 1.1695,              0.0014536,              0.0014536,              0.0014536
                     10,                0.01396,                 1.0048,                  1.182,                0.93946,                0.93155,                0.97804,                0.75863,                0.01191,                0.80545,                 1.1727,               0.001427,               0.001427,               0.001427
                     11,                0.01382,                0.98565,                 1.1774,                0.94492,                0.93443,                0.97986,                0.77671,                0.01144,                0.75641,                 1.1624,              0.0014003,              0.0014003,              0.0014003
                     12,                0.01371,                0.97354,                 1.1756,                 0.9433,                0.94085,                0.98114,                0.77429,                0.01153,                0.76008,                 1.1615,              0.0013736,              0.0013736,              0.0013736
                     13,                0.01363,                0.96472,                 1.1757,                0.94392,                 0.9387,                0.98172,                0.77738,                0.01146,                0.75475,                 1.1643,              0.0013469,              0.0013469,              0.0013469
                     14,                0.01355,                0.95325,                 1.1729,                 0.9512,                0.93863,                0.98337,                0.78599,                0.01126,                0.72883,                 1.1602,              0.0013203,              0.0013203,              0.0013203
                     15,                0.01347,                0.94261,                 1.1709,                0.94812,                0.93857,                0.98266,                0.78625,                0.01118,                0.72283,                 1.1574,              0.0012936,              0.0012936,              0.0012936
                     16,                0.01345,                0.94104,                 1.1706,                0.94866,                0.94221,                0.98362,                0.78769,                0.01105,                0.71597,                 1.1534,              0.0012669,              0.0012669,              0.0012669
                     17,                0.01338,                 0.9335,                 1.1693,                0.94755,                0.94239,                0.98361,                0.78816,                0.01115,                0.71199,                 1.1556,              0.0012402,              0.0012402,              0.0012402
                     18,                 0.0133,                0.92493,                 1.1677,                0.95456,                0.94395,                0.98528,                0.79386,                0.01098,                0.69477,                 1.1529,              0.0012136,              0.0012136,              0.0012136
                     19,                0.01324,                0.91519,                 1.1669,                0.95265,                0.94894,                  0.986,                0.79075,                  0.011,                0.69955,                 1.1533,              0.0011869,              0.0011869,              0.0011869
                     20,                0.01317,                0.90953,                 1.1662,                 0.9539,                0.94854,                0.98595,                0.79619,                0.01092,                0.68836,                 1.1532,              0.0011602,              0.0011602,              0.0011602
                     21,                 0.0132,                0.90994,                  1.167,                0.94846,                0.95111,                0.98544,                0.79562,                 0.0109,                0.68806,                 1.1506,              0.0011336,              0.0011336,              0.0011336
                     22,                0.01313,                0.90305,                 1.1666,                0.95881,                0.94458,                0.98661,                0.79842,                0.01077,                0.67718,                 1.1495,              0.0011069,              0.0011069,              0.0011069
                     23,                0.01307,                0.89697,                 1.1633,                0.95398,                 0.9429,                0.98507,                0.79194,                0.01098,                0.69661,                 1.1529,              0.0010802,              0.0010802,              0.0010802
                     24,                0.01316,                0.90042,                 1.1652,                0.95308,                0.95118,                0.98671,                0.79607,                0.01078,                0.67579,                  1.149,              0.0010535,              0.0010535,              0.0010535
                     25,                0.01306,                0.89296,                 1.1644,                0.95918,                0.94976,                0.98725,                0.80269,                 0.0107,                0.66465,                 1.1494,              0.0010269,              0.0010269,              0.0010269
                     26,                0.01304,                0.89128,                 1.1626,                0.95543,                0.95161,                0.98699,                0.80058,                0.01071,                0.66541,                 1.1478,              0.0010002,              0.0010002,              0.0010002
                     27,                0.01297,                0.88307,                 1.1614,                0.95488,                0.95185,                0.98694,                0.80154,                0.01066,                0.65907,                 1.1461,             0.00097353,             0.00097353,             0.00097353
