                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00915,                 1.2988,                0.68039,                0.95016,                0.92422,                0.96586,                0.70284,                0.00658,                0.59545,                0.60186,             0.00055359,             0.00055359,             0.00055359
                      2,                0.00731,                0.62778,                0.61557,                0.95449,                0.94591,                0.97884,                0.73836,                 0.0061,                0.49166,                0.59405,              0.0010915,              0.0010915,              0.0010915
                      3,                0.00715,                0.59325,                0.61092,                0.94949,                0.94813,                0.97671,                0.72469,                0.00613,                0.49567,                 0.5956,              0.0016116,              0.0016116,              0.0016116
                      4,                0.00695,                0.56791,                0.60678,                0.95177,                0.94927,                0.98078,                0.73452,                0.00611,                0.48141,                 0.5938,               0.001587,               0.001587,               0.001587
                      5,                0.00681,                0.54552,                0.60232,                0.95568,                0.94786,                0.97886,                0.74523,                0.00585,                0.46488,                0.58945,              0.0015603,              0.0015603,              0.0015603
                      6,                0.00664,                0.52578,                0.59784,                0.96002,                0.94601,                0.98171,                0.74667,                0.00594,                0.45994,                0.59062,              0.0015336,              0.0015336,              0.0015336
                      7,                0.00657,                0.51751,                0.59737,                0.95857,                 0.9455,                0.98163,                0.75586,                0.00577,                 0.4369,                0.58689,               0.001507,               0.001507,               0.001507
                      8,                0.00647,                0.50313,                0.59452,                0.95385,                0.95447,                0.98499,                0.76532,                0.00565,                0.42808,                0.58299,              0.0014803,              0.0014803,              0.0014803
                      9,                0.00646,                0.49888,                0.59388,                0.95975,                0.95288,                0.98449,                0.77274,                0.00564,                0.41198,                0.58237,              0.0014536,              0.0014536,              0.0014536
                     10,                0.00641,                0.49513,                0.59363,                0.95993,                0.95347,                0.98488,                0.77261,                0.00543,                0.40493,                0.57884,               0.001427,               0.001427,               0.001427
                     11,                0.00635,                0.48515,                0.59139,                0.96313,                0.95025,                0.98514,                0.77566,                0.00554,                0.40862,                0.58138,              0.0014003,              0.0014003,              0.0014003
                     12,                0.00631,                0.48117,                0.59046,                0.96094,                0.95486,                0.98606,                0.77708,                0.00555,                0.40559,                0.58172,              0.0013736,              0.0013736,              0.0013736
                     13,                0.00626,                0.47789,                0.59041,                0.96231,                0.95527,                0.98645,                0.78191,                0.00552,                0.39813,                 0.5802,              0.0013469,              0.0013469,              0.0013469
                     14,                0.00624,                0.47236,                 0.5887,                0.95743,                0.95952,                0.98719,                0.78219,                0.00532,                0.38906,                0.57553,              0.0013203,              0.0013203,              0.0013203
                     15,                 0.0062,                0.47089,                0.58799,                0.96224,                 0.9577,                0.98777,                 0.7775,                0.00561,                0.39014,                 0.5819,              0.0012936,              0.0012936,              0.0012936
                     16,                0.00617,                 0.4669,                0.58766,                0.96508,                 0.9554,                0.98821,                0.78676,                0.00533,                0.38039,                0.57596,              0.0012669,              0.0012669,              0.0012669
                     17,                0.00615,                  0.463,                0.58684,                0.96228,                0.95511,                0.98715,                0.77627,                0.00555,                0.39543,                0.58208,              0.0012402,              0.0012402,              0.0012402
                     18,                0.00615,                0.46182,                0.58677,                0.96268,                0.95397,                0.98773,                0.77787,                0.00549,                0.38707,                0.57974,              0.0012136,              0.0012136,              0.0012136
                     19,                0.00611,                0.45625,                0.58588,                 0.9654,                 0.9573,                0.98903,                0.78833,                0.00528,                0.37411,                0.57552,              0.0011869,              0.0011869,              0.0011869
                     20,                0.00608,                0.45447,                0.58552,                0.96127,                0.95914,                0.98808,                0.78614,                0.00529,                0.37567,                0.57609,              0.0011602,              0.0011602,              0.0011602
                     21,                0.00607,                 0.4538,                0.58588,                0.96299,                0.95867,                0.98878,                0.78883,                0.00534,                0.37263,                0.57671,              0.0011336,              0.0011336,              0.0011336
                     22,                0.00605,                0.45276,                0.58542,                0.96354,                 0.9602,                0.98925,                 0.7959,                0.00522,                0.36955,                0.57339,              0.0011069,              0.0011069,              0.0011069
                     23,                0.00603,                0.44921,                0.58414,                0.96595,                0.95824,                 0.9894,                0.79214,                0.00523,                0.36664,                0.57456,              0.0010802,              0.0010802,              0.0010802
                     24,                0.00604,                0.44927,                0.58475,                0.96216,                 0.9609,                0.98932,                0.79115,                0.00525,                0.36826,                0.57527,              0.0010535,              0.0010535,              0.0010535
                     25,                0.00602,                 0.4476,                0.58437,                0.96458,                0.95911,                0.98951,                0.79738,                 0.0052,                0.36256,                0.57392,              0.0010269,              0.0010269,              0.0010269
                     26,                0.00601,                0.44634,                0.58348,                0.96478,                0.96011,                0.98965,                0.79704,                0.00516,                0.36344,                0.57302,              0.0010002,              0.0010002,              0.0010002
                     27,                0.00598,                0.44395,                0.58324,                0.96192,                0.96048,                0.98904,                0.79499,                0.00518,                0.36051,                0.57331,             0.00097353,             0.00097353,             0.00097353
                     28,                0.00596,                0.44155,                0.58317,                0.96325,                0.96164,                0.98965,                 0.7966,                 0.0052,                0.35939,                0.57379,             0.00094686,             0.00094686,             0.00094686
                     29,                0.00597,                0.44109,                0.58345,                0.96535,                 0.9603,                0.98995,                0.79872,                0.00516,                0.35702,                0.57258,             0.00092018,             0.00092018,             0.00092018
                     30,                0.00595,                0.43923,                0.58261,                0.96454,                0.96131,                0.98987,                0.79842,                0.00515,                0.35536,                0.57303,             0.00089351,             0.00089351,             0.00089351
                     31,                0.00593,                0.43826,                0.58252,                0.96447,                0.96125,                0.98966,                0.79958,                0.00513,                0.35471,                0.57141,             0.00086684,             0.00086684,             0.00086684
                     32,                0.00594,                0.43783,                0.58222,                0.96574,                0.96172,                0.99015,                0.80242,                0.00508,                0.35089,                0.57048,             0.00084017,             0.00084017,             0.00084017
                     33,                0.00592,                0.43603,                 0.5818,                0.96343,                0.96304,                0.98993,                0.79888,                0.00513,                0.35277,                0.57188,              0.0008135,              0.0008135,              0.0008135
                     34,                 0.0059,                0.43406,                0.58172,                0.96582,                0.96073,                0.98987,                0.80321,                0.00508,                0.35042,                0.57051,             0.00078682,             0.00078682,             0.00078682
                     35,                0.00589,                0.43247,                0.58127,                 0.9643,                0.96206,                0.99001,                0.80137,                 0.0051,                0.35064,                0.57128,             0.00076015,             0.00076015,             0.00076015
                     36,                 0.0059,                0.43317,                0.58162,                0.96433,                0.96333,                0.99019,                0.80176,                0.00508,                 0.3511,                0.57049,             0.00073348,             0.00073348,             0.00073348
                     37,                0.00585,                0.43047,                0.58062,                0.96453,                0.96382,                0.99035,                0.80422,                0.00508,                0.34823,                 0.5707,             0.00070681,             0.00070681,             0.00070681
                     38,                0.00586,                0.42943,                 0.5808,                 0.9648,                0.96327,                0.99037,                0.80297,                0.00506,                0.34864,                0.57018,             0.00068014,             0.00068014,             0.00068014
                     39,                0.00583,                 0.4277,                0.57985,                0.96603,                0.96206,                0.99036,                0.80474,                0.00506,                0.34638,                0.57062,             0.00065346,             0.00065346,             0.00065346
                     40,                0.00585,                0.42852,                0.57987,                0.96532,                0.96321,                0.99039,                0.80257,                0.00507,                0.34589,                0.57054,             0.00062679,             0.00062679,             0.00062679
                     41,                0.00524,                0.37415,                0.56689,                 0.9639,                0.96294,                0.99009,                0.80471,                0.00506,                0.35004,                 0.5701,             0.00060012,             0.00060012,             0.00060012
                     42,                0.00514,                0.36483,                 0.5649,                0.96844,                 0.9621,                0.99072,                0.80909,                0.00497,                0.34327,                0.56773,             0.00057345,             0.00057345,             0.00057345
                     43,                0.00511,                0.36122,                0.56431,                0.96654,                0.96363,                0.99045,                0.80957,                0.00495,                0.34075,                0.56806,             0.00054678,             0.00054678,             0.00054678
                     44,                0.00508,                0.35861,                0.56423,                0.96652,                0.96441,                0.99077,                0.81072,                0.00495,                0.33927,                0.56723,              0.0005201,              0.0005201,              0.0005201
                     45,                0.00507,                0.35687,                0.56334,                0.96698,                0.96465,                0.99074,                0.81168,                0.00492,                0.33649,                0.56692,             0.00049343,             0.00049343,             0.00049343
                     46,                0.00505,                0.35468,                0.56324,                0.96732,                0.96443,                0.99082,                0.81334,                0.00492,                0.33392,                 0.5674,             0.00046676,             0.00046676,             0.00046676
                     47,                0.00502,                0.35168,                0.56208,                0.96702,                0.96567,                 0.9908,                0.81351,                0.00489,                0.33235,                0.56637,             0.00044009,             0.00044009,             0.00044009
                     48,                0.00502,                0.35137,                0.56228,                0.96706,                 0.9654,                0.99084,                0.81396,                0.00489,                0.33204,                0.56601,             0.00041342,             0.00041342,             0.00041342
                     49,                0.00499,                0.34883,                 0.5616,                0.96871,                0.96511,                0.99109,                 0.8155,                0.00488,                0.33027,                0.56618,             0.00038674,             0.00038674,             0.00038674
                     50,                0.00497,                0.34689,                0.56172,                0.96911,                0.96514,                0.99119,                0.81574,                0.00486,                0.32941,                0.56579,             0.00036007,             0.00036007,             0.00036007
