                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1432,                  1.048,                0.94076,                 0.9504,                0.93785,                0.97387,                0.73026,                0.90155,                0.54692,                0.88452,             0.00055463,             0.00055463,             0.00055463
                      2,                0.93892,                0.55094,                0.87718,                0.95628,                0.94347,                0.97635,                0.74394,                0.89777,                0.49761,                0.88534,              0.0010737,              0.0010737,              0.0010737
                      3,                0.90222,                0.50811,                0.86959,                0.95574,                  0.949,                0.97936,                0.75578,                0.84623,                0.45926,                0.87134,               0.001556,               0.001556,               0.001556
                      4,                0.88668,                0.48377,                0.86613,                0.95967,                0.95263,                0.98414,                0.77743,                0.81215,                0.43203,                0.86448,               0.001502,               0.001502,               0.001502
                      5,                0.86404,                0.46085,                0.86118,                0.96053,                0.95431,                0.98635,                0.78443,                0.80036,                0.41482,                0.86329,               0.001447,               0.001447,               0.001447
                      6,                0.84695,                0.44899,                0.85827,                0.95861,                0.95112,                0.98528,                0.76591,                0.84816,                0.42503,                0.87474,              0.0013919,              0.0013919,              0.0013919
                      7,                0.84353,                0.44145,                0.85712,                0.95739,                0.95542,                0.98645,                0.78821,                0.79346,                0.40785,                0.86132,              0.0013369,              0.0013369,              0.0013369
                      8,                0.82735,                0.43049,                0.85455,                 0.9601,                0.95711,                0.98808,                0.79918,                0.76876,                0.38966,                0.85401,              0.0012819,              0.0012819,              0.0012819
                      9,                0.81996,                0.42394,                0.85263,                0.96006,                 0.9585,                0.98888,                 0.7991,                0.76433,                0.37877,                 0.8541,              0.0012269,              0.0012269,              0.0012269
                     10,                0.81554,                0.41973,                0.85183,                0.96375,                0.95683,                0.98898,                0.79621,                0.77949,                0.38554,                0.85592,              0.0011719,              0.0011719,              0.0011719
                     11,                0.80188,                0.41192,                   0.85,                0.96352,                0.95712,                0.98931,                0.80652,                0.75057,                0.36809,                0.85064,              0.0011169,              0.0011169,              0.0011169
                     12,                0.79821,                0.40829,                0.84865,                0.96415,                0.95824,                0.98959,                0.80512,                0.75975,                0.36874,                0.85175,              0.0010619,              0.0010619,              0.0010619
                     13,                0.78884,                0.40228,                0.84769,                0.96152,                0.96032,                0.98937,                0.80234,                0.75959,                0.36888,                0.85298,              0.0010069,              0.0010069,              0.0010069
                     14,                0.78461,                0.39706,                 0.8462,                0.96372,                0.95903,                 0.9899,                0.81105,                 0.7385,                0.35842,                 0.8485,             0.00095186,             0.00095186,             0.00095186
                     15,                0.78048,                0.39523,                0.84587,                0.96181,                0.96133,                0.98982,                0.81334,                 0.7382,                0.35407,                0.84869,             0.00089685,             0.00089685,             0.00089685
                     16,                0.77311,                0.39063,                0.84431,                0.96455,                0.96012,                0.99013,                0.81105,                0.73256,                0.35423,                0.84769,             0.00084184,             0.00084184,             0.00084184
                     17,                0.77065,                0.38791,                0.84519,                0.96474,                0.96108,                0.99008,                0.80935,                0.73984,                0.35396,                 0.8477,             0.00078682,             0.00078682,             0.00078682
                     18,                0.76428,                0.38304,                0.84266,                0.96566,                0.96098,                0.99034,                0.81649,                0.72506,                0.34679,                0.84543,             0.00073181,             0.00073181,             0.00073181
                     19,                0.76114,                0.38086,                0.84272,                 0.9649,                0.96162,                0.99031,                0.81653,                0.71782,                0.34514,                0.84562,              0.0006768,              0.0006768,              0.0006768
                     20,                0.75481,                0.37656,                0.84148,                0.96672,                  0.961,                0.99071,                0.82111,                0.71284,                0.33964,                0.84364,             0.00062179,             0.00062179,             0.00062179
                     21,                0.74077,                0.36505,                0.84112,                0.96578,                0.96128,                0.99045,                0.81838,                 0.7226,                0.34626,                 0.8455,             0.00056678,             0.00056678,             0.00056678
                     22,                0.73231,                0.35849,                0.83864,                0.96468,                0.96398,                 0.9907,                0.82147,                 0.7094,                0.33849,                 0.8439,             0.00051177,             0.00051177,             0.00051177
                     23,                0.72551,                0.35355,                0.83798,                0.96698,                0.96299,                0.99094,                0.82563,                 0.7009,                0.33262,                0.84164,             0.00045676,             0.00045676,             0.00045676
                     24,                 0.7174,                0.34801,                0.83709,                0.96617,                0.96491,                0.99095,                 0.8245,                 0.6996,                0.33282,                0.84107,             0.00040175,             0.00040175,             0.00040175
                     25,                0.71123,                0.34412,                0.83544,                  0.968,                0.96237,                0.99099,                0.82684,                0.69859,                0.32939,                0.84088,             0.00034674,             0.00034674,             0.00034674
                     26,                0.70795,                0.34071,                0.83539,                0.96687,                0.96447,                0.99107,                0.82899,                0.69401,                0.32518,                0.84022,             0.00029172,             0.00029172,             0.00029172
                     27,                0.70368,                0.33792,                 0.8342,                0.96756,                0.96428,                0.99114,                0.82717,                0.69614,                0.32381,                0.84079,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69976,                0.33543,                0.83331,                0.96832,                0.96371,                0.99118,                0.83003,                0.68932,                0.32233,                0.83951,              0.0001817,              0.0001817,              0.0001817
                     29,                 0.6934,                0.33111,                0.83232,                0.96751,                 0.9653,                0.99132,                0.83057,                0.68769,                0.32004,                0.83868,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68963,                0.32831,                0.83238,                0.96824,                0.96425,                0.99125,                0.83075,                0.68539,                0.31824,                0.83845,             7.1681e-05,             7.1681e-05,             7.1681e-05
