                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1146,                0.99092,                0.93225,                0.79595,                0.79694,                 0.8457,                0.61604,                0.94062,                0.69114,                0.89988,             0.00055483,             0.00055483,             0.00055483
                      2,                0.92182,                0.53259,                0.87399,                0.78668,                0.80923,                0.84245,                0.59449,                 1.0006,                0.55457,                0.90124,              0.0010738,              0.0010738,              0.0010738
                      3,                0.89216,                0.49225,                0.86764,                 0.8152,                0.85681,                0.87097,                0.65495,                0.87893,                0.51344,                 0.8862,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87176,                0.46918,                0.86275,                0.81405,                0.81527,                0.85316,                0.63524,                 0.8717,                0.49699,                0.88861,               0.001502,               0.001502,               0.001502
                      5,                0.85095,                0.45265,                0.85906,                0.80378,                 0.8678,                0.89276,                0.65499,                0.94363,                0.50406,                0.89984,               0.001447,               0.001447,               0.001447
                      6,                0.83287,                0.43626,                0.85556,                0.83289,                 0.8836,                0.89493,                0.66434,                0.86047,                 0.4824,                0.87059,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82473,                0.42949,                0.85395,                0.84666,                0.85404,                0.90691,                0.69197,                0.87446,                0.45581,                0.88186,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81447,                0.41912,                0.85219,                0.83875,                0.84299,                0.90013,                0.68045,                0.83345,                0.44823,                0.87064,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80783,                0.41498,                0.85093,                0.84915,                0.83555,                0.89258,                0.66538,                0.86487,                0.46688,                0.89083,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79724,                0.40662,                0.84904,                0.85417,                0.86847,                 0.9089,                0.69409,                0.84418,                0.43487,                0.87751,              0.0011719,              0.0011719,              0.0011719
                     11,                 0.7957,                 0.4049,                0.84834,                0.81686,                0.87315,                0.90598,                0.70478,                0.83023,                0.44609,                0.87564,              0.0011169,              0.0011169,              0.0011169
                     12,                0.79025,                0.39941,                0.84803,                0.82453,                0.86447,                 0.8994,                0.68811,                0.82533,                0.44158,                0.87609,              0.0010619,              0.0010619,              0.0010619
                     13,                0.78185,                0.39481,                0.84646,                 0.8801,                 0.8375,                0.92343,                0.70858,                0.83069,                 0.4226,                 0.8722,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77725,                0.39065,                0.84604,                0.86308,                0.83998,                0.91519,                0.69527,                0.80319,                0.41936,                0.87189,             0.00095186,             0.00095186,             0.00095186
                     15,                0.77188,                0.38833,                0.84468,                0.85541,                0.86511,                 0.9179,                0.69624,                0.83462,                0.42304,                0.86947,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76544,                 0.3831,                0.84404,                0.84943,                0.85955,                0.91263,                0.71851,                0.78463,                0.41153,                0.86212,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76159,                0.38081,                0.84284,                0.86114,                0.86101,                0.91599,                0.71829,                0.77611,                0.40348,                0.85767,             0.00078682,             0.00078682,             0.00078682
                     18,                 0.7555,                0.37662,                0.84219,                0.84575,                0.87715,                0.91944,                0.69955,                0.81162,                0.40648,                0.86643,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75456,                0.37484,                0.84206,                0.82232,                0.89994,                0.91907,                0.71428,                0.79327,                0.39905,                0.86304,              0.0006768,              0.0006768,              0.0006768
                     20,                 0.7526,                0.37241,                0.84124,                0.86148,                0.87434,                0.92389,                0.70683,                0.79659,                0.40337,                0.87067,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73167,                0.35825,                0.83961,                0.83651,                0.87291,                0.90241,                0.70558,                0.78537,                0.40512,                0.86213,             0.00056678,             0.00056678,             0.00056678
                     22,                0.71922,                0.34959,                0.83706,                0.86676,                0.85266,                0.92132,                0.71781,                0.79972,                0.40283,                0.86684,             0.00051177,             0.00051177,             0.00051177
                     23,                 0.7154,                0.34534,                0.83634,                0.83329,                0.90281,                0.92462,                0.71637,                0.79326,                0.39984,                0.86529,             0.00045676,             0.00045676,             0.00045676
                     24,                0.71202,                0.34306,                0.83632,                0.82545,                0.89912,                0.92021,                0.71726,                0.78067,                0.39473,                0.86337,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70551,                0.33897,                0.83477,                0.84394,                0.86871,                0.92046,                0.72009,                0.78161,                0.39534,                0.86612,             0.00034674,             0.00034674,             0.00034674
                     26,                0.70001,                 0.3345,                0.83435,                0.83657,                0.88825,                0.92705,                 0.7143,                0.79523,                0.39055,                0.87084,             0.00029172,             0.00029172,             0.00029172
                     27,                 0.6946,                0.33141,                0.83336,                0.82526,                0.89228,                0.92618,                0.72441,                0.76785,                0.37966,                0.86021,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69093,                0.32823,                0.83271,                0.87572,                 0.8635,                0.92612,                0.72901,                0.77433,                0.38208,                0.86063,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68751,                 0.3253,                0.83212,                0.88548,                0.85015,                0.92723,                0.72306,                0.77612,                 0.3807,                0.86301,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68261,                0.32222,                0.83093,                0.88756,                0.85321,                0.92707,                0.72309,                0.78336,                0.38246,                0.86529,             7.1681e-05,             7.1681e-05,             7.1681e-05
