                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.201,                 1.0972,                0.95853,                0.96822,                0.94961,                0.97779,                0.74693,                0.80779,                0.48236,                0.85697,             0.00055452,             0.00055452,             0.00055452
                      2,                0.99201,                0.58779,                0.89143,                0.97096,                0.95775,                0.98041,                0.77286,                 0.7631,                0.43084,                0.84845,              0.0010735,              0.0010735,              0.0010735
                      3,                0.95919,                0.54336,                0.88459,                0.97211,                0.96038,                0.98436,                0.77826,                 0.7616,                0.40086,                0.84844,              0.0015559,              0.0015559,              0.0015559
                      4,                 0.9358,                 0.5137,                0.87927,                0.97361,                0.96333,                0.98787,                0.78975,                0.74154,                0.38577,                0.84563,               0.001502,               0.001502,               0.001502
                      5,                0.91996,                0.49794,                0.87533,                0.97579,                0.96517,                0.98874,                0.79572,                0.72701,                0.37355,                0.84212,               0.001447,               0.001447,               0.001447
                      6,                  0.902,                0.48188,                0.87149,                0.97405,                0.96666,                0.98846,                0.79819,                 0.7099,                0.36493,                0.83844,              0.0013919,              0.0013919,              0.0013919
                      7,                0.89133,                  0.471,                0.87003,                0.97399,                 0.9681,                 0.9889,                0.79328,                0.72797,                0.36668,                0.84107,              0.0013369,              0.0013369,              0.0013369
                      8,                0.87655,                0.46131,                0.86676,                0.97438,                0.96824,                 0.9912,                0.80825,                0.70459,                0.35265,                0.83714,              0.0012819,              0.0012819,              0.0012819
                      9,                0.86847,                0.45474,                0.86402,                0.97483,                0.96909,                0.99131,                0.81477,                0.68974,                0.34215,                0.83394,              0.0012269,              0.0012269,              0.0012269
                     10,                0.86286,                0.44792,                0.86293,                0.97598,                 0.9699,                0.99168,                0.81224,                0.69151,                0.34032,                0.83518,              0.0011719,              0.0011719,              0.0011719
                     11,                0.85325,                0.44241,                0.86138,                0.97512,                0.96938,                0.99111,                0.80942,                0.69688,                0.33598,                0.83645,              0.0011169,              0.0011169,              0.0011169
                     12,                0.84538,                0.43503,                0.86039,                0.97486,                0.96945,                0.99149,                0.81571,                0.68073,                0.32965,                0.83284,              0.0010619,              0.0010619,              0.0010619
                     13,                0.83668,                0.43077,                0.85866,                0.97335,                0.97097,                0.99164,                0.81219,                0.69332,                0.33081,                0.83378,              0.0010069,              0.0010069,              0.0010069
                     14,                  0.835,                0.42703,                0.85798,                 0.9759,                0.97012,                0.99211,                0.81979,                0.67498,                0.32326,                  0.831,             0.00095186,             0.00095186,             0.00095186
                     15,                0.83164,                 0.4222,                0.85678,                0.97548,                0.97143,                  0.992,                0.82321,                0.66959,                0.32063,                0.83035,             0.00089685,             0.00089685,             0.00089685
                     16,                0.82457,                0.41898,                0.85537,                0.97717,                0.97107,                0.99236,                0.82241,                0.67044,                0.31757,                0.83028,             0.00084184,             0.00084184,             0.00084184
                     17,                0.81937,                0.41617,                  0.855,                0.97596,                0.97097,                0.99195,                0.82443,                0.66491,                0.31449,                0.82901,             0.00078682,             0.00078682,             0.00078682
                     18,                0.81497,                0.41186,                0.85365,                0.97685,                0.97089,                0.99234,                 0.8207,                0.67208,                 0.3125,                 0.8298,             0.00073181,             0.00073181,             0.00073181
                     19,                0.80931,                0.40906,                0.85435,                0.97647,                0.97175,                0.99244,                0.82878,                0.65545,                0.30817,                0.82829,              0.0006768,              0.0006768,              0.0006768
                     20,                0.80433,                0.40396,                0.85249,                0.97579,                0.97302,                0.99264,                0.82792,                0.65645,                0.30487,                0.82753,             0.00062179,             0.00062179,             0.00062179
                     21,                0.78591,                0.38867,                0.85268,                 0.9775,                0.97145,                0.99254,                0.82356,                0.66858,                 0.3113,                0.82922,             0.00056678,             0.00056678,             0.00056678
                     22,                0.77365,                0.38158,                0.84952,                0.97641,                0.97135,                0.99233,                0.82515,                0.66087,                0.30823,                 0.8276,             0.00051177,             0.00051177,             0.00051177
                     23,                0.76871,                0.37778,                 0.8488,                 0.9779,                0.97251,                0.99269,                0.83369,                0.64723,                0.30296,                0.82566,             0.00045676,             0.00045676,             0.00045676
                     24,                 0.7629,                0.37301,                0.84682,                0.97731,                0.97259,                0.99276,                0.83043,                0.65158,                0.30118,                0.82579,             0.00040175,             0.00040175,             0.00040175
                     25,                0.75752,                0.36877,                0.84684,                0.97779,                0.97241,                0.99282,                0.83151,                0.64997,                0.29691,                0.82603,             0.00034674,             0.00034674,             0.00034674
                     26,                0.74852,                0.36396,                0.84431,                0.97827,                0.97185,                0.99281,                0.83358,                0.64747,                0.29618,                0.82589,             0.00029172,             0.00029172,             0.00029172
                     27,                0.74842,                0.36174,                0.84439,                0.97845,                0.97242,                0.99286,                0.83418,                0.64413,                0.29242,                0.82495,             0.00023671,             0.00023671,             0.00023671
                     28,                0.74143,                0.35701,                0.84352,                0.97833,                0.97334,                  0.993,                0.83459,                0.64023,                0.28992,                0.82468,              0.0001817,              0.0001817,              0.0001817
                     29,                0.73278,                0.35214,                0.84172,                0.97839,                0.97229,                0.99289,                0.83706,                0.63794,                0.28904,                0.82451,             0.00012669,             0.00012669,             0.00012669
                     30,                 0.7316,                0.35016,                0.84166,                0.97804,                0.97335,                0.99293,                0.83657,                0.63635,                0.28812,                0.82397,             7.1681e-05,             7.1681e-05,             7.1681e-05
