                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1042,                  1.056,                0.93658,                0.53082,                0.57669,                0.52791,                0.26612,                 1.5638,                 1.0665,                 1.0218,              0.0005545,              0.0005545,              0.0005545
                      2,                 0.9007,                 0.5284,                0.87113,                0.52389,                 0.5943,                0.52959,                0.27411,                 1.5097,                  1.058,                 1.0232,              0.0010735,              0.0010735,              0.0010735
                      3,                0.86895,                0.49005,                0.86439,                0.55505,                0.65522,                0.57281,                0.32818,                 1.3794,                0.97942,                0.98003,              0.0015559,              0.0015559,              0.0015559
                      4,                0.84165,                0.46205,                0.85885,                0.56111,                0.64748,                 0.5691,                0.31153,                 1.3998,                0.89803,                0.99811,               0.001502,               0.001502,               0.001502
                      5,                0.82708,                 0.4441,                0.85624,                0.62147,                0.63699,                0.62305,                0.39741,                 1.1788,                0.70282,                0.93375,               0.001447,               0.001447,               0.001447
                      6,                0.81178,                0.43354,                0.85346,                0.61529,                0.66234,                0.62648,                0.38598,                 1.2615,                0.69942,                0.95832,              0.0013919,              0.0013919,              0.0013919
                      7,                0.80137,                0.42588,                0.85146,                0.58219,                0.65312,                0.58839,                0.35587,                 1.2894,                0.73991,                0.96229,              0.0013369,              0.0013369,              0.0013369
                      8,                 0.7948,                0.41884,                 0.8496,                0.60343,                0.64274,                0.61192,                0.39234,                 1.1752,                0.66351,                0.93795,              0.0012819,              0.0012819,              0.0012819
                      9,                0.78345,                 0.4088,                0.84778,                0.60179,                0.66294,                0.61691,                 0.3798,                 1.2568,                0.71002,                0.95234,              0.0012269,              0.0012269,              0.0012269
                     10,                0.77265,                0.40093,                0.84616,                 0.6038,                 0.6332,                0.60923,                0.37422,                 1.2884,                 0.6796,                0.96709,              0.0011719,              0.0011719,              0.0011719
                     11,                0.76583,                0.39465,                0.84423,                0.59873,                0.65378,                0.60825,                0.36497,                  1.307,                0.71406,                0.97175,              0.0011169,              0.0011169,              0.0011169
                     12,                0.76076,                0.39092,                0.84333,                0.62797,                0.65814,                0.63635,                0.41181,                 1.1754,                0.60409,                0.93339,              0.0010619,              0.0010619,              0.0010619
                     13,                 0.7569,                0.38748,                0.84328,                0.60685,                0.65173,                0.62182,                0.38376,                 1.2612,                0.65619,                0.96208,              0.0010069,              0.0010069,              0.0010069
                     14,                0.74702,                0.38084,                0.84149,                 0.6046,                0.65626,                0.61377,                0.36979,                  1.285,                0.67481,                0.96634,             0.00095186,             0.00095186,             0.00095186
                     15,                0.74527,                0.37897,                0.84043,                0.61913,                0.63491,                0.61758,                0.39751,                 1.1704,                0.60649,                0.93881,             0.00089685,             0.00089685,             0.00089685
                     16,                0.73778,                0.37409,                0.83952,                0.61487,                0.67724,                0.62662,                0.40926,                  1.136,                0.59224,                0.92932,             0.00084184,             0.00084184,             0.00084184
                     17,                0.73726,                0.37287,                0.83959,                0.61879,                0.67004,                0.63209,                0.40239,                  1.205,                0.62022,                 0.9444,             0.00078682,             0.00078682,             0.00078682
                     18,                0.73449,                0.36931,                0.83874,                0.63403,                0.64727,                0.63668,                0.42787,                 1.0852,                 0.5634,                0.91788,             0.00073181,             0.00073181,             0.00073181
                     19,                0.72907,                0.36697,                0.83879,                0.61259,                0.66947,                0.62713,                0.40385,                 1.1694,                0.59223,                0.93781,              0.0006768,              0.0006768,              0.0006768
                     20,                0.72427,                0.36354,                0.83709,                0.62488,                 0.6667,                0.63344,                0.40613,                 1.1858,                0.61686,                0.93952,             0.00062179,             0.00062179,             0.00062179
