                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1246,                 0.9972,                0.93243,                0.91185,                0.94623,                0.97051,                0.77251,                 0.7676,                0.58098,                0.87184,             0.00055482,             0.00055482,             0.00055482
                      2,                0.92099,                0.53305,                0.87291,                 0.9271,                0.95953,                0.97435,                0.78264,                0.73504,                0.43944,                0.86458,              0.0010738,              0.0010738,              0.0010738
                      3,                0.89551,                0.49126,                0.86772,                0.93538,                0.95929,                0.97871,                0.79892,                0.70379,                0.41256,                 0.8545,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87191,                0.47154,                0.86313,                0.93758,                0.95912,                0.97945,                0.80208,                0.70917,                0.39293,                0.85541,               0.001502,               0.001502,               0.001502
                      5,                0.85319,                0.45372,                0.85866,                0.92996,                0.96285,                0.98061,                0.80903,                0.69957,                0.38132,                0.85598,               0.001447,               0.001447,               0.001447
                      6,                0.83917,                0.43992,                0.85609,                0.94339,                0.95772,                0.98238,                0.79696,                0.73891,                0.39084,                0.86354,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82391,                0.42902,                  0.853,                0.94682,                0.96041,                0.98201,                0.81713,                0.67818,                0.36665,                0.84856,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81971,                0.42318,                0.85265,                0.94348,                0.95977,                0.98283,                0.82393,                0.66744,                0.36309,                0.84547,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80975,                0.41702,                0.85106,                0.94632,                0.96149,                 0.9845,                0.81692,                0.69169,                0.36362,                0.85083,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79942,                0.40924,                0.84857,                0.94764,                0.96521,                0.98545,                0.82285,                0.68604,                0.35328,                0.84781,              0.0011719,              0.0011719,              0.0011719
                     11,                 0.7952,                0.40286,                0.84756,                0.94875,                 0.9626,                 0.9858,                0.82933,                0.67092,                0.34456,                0.84593,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78488,                0.39886,                0.84606,                0.93875,                0.96842,                0.98385,                0.83074,                0.66599,                0.34352,                0.84399,              0.0010619,              0.0010619,              0.0010619
                     13,                 0.7855,                0.39579,                0.84614,                0.94765,                0.96292,                0.98541,                0.82338,                0.67977,                0.34064,                0.84596,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77951,                0.39265,                0.84521,                 0.9457,                0.96368,                0.98359,                0.82765,                0.67457,                0.34092,                0.84588,             0.00095186,             0.00095186,             0.00095186
                     15,                0.77446,                0.38932,                0.84428,                0.94743,                0.96256,                0.98545,                0.83117,                0.65795,                0.33449,                0.84214,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76945,                0.38604,                 0.8443,                0.95007,                0.96114,                0.98507,                0.82733,                0.67353,                0.33072,                0.84593,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76586,                0.38171,                 0.8427,                0.94457,                0.96756,                0.98577,                0.83285,                0.66436,                0.32974,                 0.8422,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75925,                0.37921,                 0.8424,                0.95037,                0.96292,                0.98624,                0.83637,                0.65436,                0.32495,                 0.8423,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75668,                0.37637,                0.84208,                0.93194,                0.97141,                0.98401,                0.83318,                0.66734,                0.33436,                0.84222,              0.0006768,              0.0006768,              0.0006768
                     20,                0.75272,                0.37313,                0.84124,                0.95249,                 0.9618,                0.98596,                0.83024,                0.68718,                0.32916,                0.84731,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73451,                0.35847,                0.83959,                0.94098,                0.96865,                0.98527,                0.83757,                0.65469,                 0.3264,                 0.8406,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72342,                0.35114,                0.83785,                0.94346,                0.96907,                0.98586,                0.83839,                0.64853,                0.31762,                0.83898,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71722,                0.34789,                0.83703,                0.94365,                0.96981,                0.98636,                0.84203,                0.64489,                0.31308,                0.83942,             0.00045676,             0.00045676,             0.00045676
                     24,                0.71342,                0.34372,                0.83591,                0.93983,                0.97115,                0.98572,                0.84058,                0.64776,                0.31659,                0.83946,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70579,                0.33933,                0.83483,                0.95585,                0.95849,                0.98664,                0.84409,                0.63825,                0.30999,                0.83656,             0.00034674,             0.00034674,             0.00034674
                     26,                0.70244,                0.33602,                0.83471,                0.94151,                0.96987,                0.98592,                 0.8401,                0.64909,                 0.3127,                0.83951,             0.00029172,             0.00029172,             0.00029172
                     27,                  0.697,                0.33192,                0.83411,                0.95212,                 0.9677,                0.98685,                0.84598,                 0.6348,                0.30356,                0.83677,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69505,                0.33004,                0.83249,                0.95346,                0.96426,                0.98678,                0.84481,                 0.6379,                0.30357,                0.83681,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68823,                0.32602,                0.83221,                0.95094,                0.96679,                0.98679,                0.84577,                0.63436,                 0.3006,                0.83576,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68588,                0.32352,                0.83043,                 0.9516,                0.96505,                0.98669,                0.84546,                0.63424,                0.30168,                0.83641,             7.1681e-05,             7.1681e-05,             7.1681e-05
