                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1171,                0.99293,                0.93356,                0.90989,                0.91852,                0.96057,                0.66843,                 1.0585,                0.60061,                0.95175,             0.00055483,             0.00055483,             0.00055483
                      2,                0.92212,                0.53235,                0.87313,                0.92387,                0.92334,                0.96345,                0.70026,                0.96803,                0.54185,                0.92922,              0.0010739,              0.0010739,              0.0010739
                      3,                0.89098,                0.49265,                 0.8675,                0.94294,                0.91368,                0.97105,                0.69783,                 1.0031,                0.50181,                0.93879,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87191,                0.46866,                 0.8632,                0.93493,                0.90841,                0.96288,                0.67969,                 1.0566,                0.53486,                0.95891,               0.001502,               0.001502,               0.001502
                      5,                0.85047,                0.45065,                0.85904,                0.93206,                0.92336,                 0.9713,                0.70864,                0.98486,                0.47681,                 0.9323,               0.001447,               0.001447,               0.001447
                      6,                0.84045,                0.44132,                0.85703,                0.90697,                0.93035,                0.96507,                0.70689,                0.94748,                0.47025,                0.92363,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82154,                0.42754,                0.85304,                0.93735,                0.93355,                0.97689,                0.73982,                0.89094,                0.43724,                0.91006,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81463,                0.42085,                0.85211,                0.93589,                0.94667,                 0.9768,                0.74894,                  0.873,                0.41821,                0.90359,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80494,                0.41215,                 0.8503,                0.93871,                0.94047,                0.97865,                0.73682,                0.90435,                0.42678,                 0.9115,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79763,                0.40685,                0.84969,                0.92307,                0.94722,                0.97358,                0.74514,                0.86798,                0.42748,                0.90187,              0.0011719,              0.0011719,              0.0011719
                     11,                0.78948,                 0.4013,                0.84709,                0.92836,                0.93752,                0.97487,                0.72504,                0.91723,                0.42132,                0.91557,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78496,                0.39854,                0.84702,                 0.9219,                0.93766,                0.97178,                 0.7286,                0.90228,                 0.4149,                0.91205,              0.0010619,              0.0010619,              0.0010619
                     13,                0.77994,                0.39393,                0.84602,                0.93635,                0.93834,                0.98054,                0.75084,                0.88626,                0.39719,                0.90365,              0.0010069,              0.0010069,              0.0010069
                     14,                 0.7776,                 0.3906,                0.84663,                0.92553,                0.95156,                0.97845,                0.75888,                 0.8494,                0.38511,                0.89686,             0.00095186,             0.00095186,             0.00095186
                     15,                0.77169,                0.38681,                0.84459,                0.91341,                0.95299,                0.97579,                0.75244,                0.84862,                0.39787,                0.89202,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76559,                0.38274,                0.84357,                0.93758,                0.94073,                0.97797,                0.76502,                0.83547,                0.38244,                0.89044,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76184,                0.37989,                0.84261,                0.94114,                0.93623,                0.97783,                 0.7591,                0.83824,                0.38476,                0.89245,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75749,                0.37701,                0.84239,                0.92981,                0.94493,                0.97825,                0.75054,                0.85718,                0.38993,                0.89614,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75295,                0.37384,                0.84195,                0.93423,                0.95288,                0.97892,                0.75783,                0.87305,                0.38804,                0.90035,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74777,                0.37013,                0.84039,                 0.9344,                0.94859,                0.97852,                0.76367,                0.82473,                 0.3774,                0.88752,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73438,                0.35849,                0.83945,                0.93666,                0.93702,                0.98031,                0.75642,                0.85831,                0.38681,                0.89416,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72037,                0.35035,                0.83765,                0.95117,                0.93146,                0.98086,                0.77095,                0.81681,                0.36916,                0.88424,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71648,                0.34682,                0.83676,                0.92737,                0.95442,                0.97888,                0.76402,                0.83266,                0.37749,                0.88808,             0.00045676,             0.00045676,             0.00045676
                     24,                0.70915,                0.34158,                0.83568,                0.93264,                0.95141,                0.97946,                0.76982,                0.81023,                0.36546,                 0.8831,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70505,                0.33816,                0.83458,                0.92912,                0.94968,                0.97892,                0.76614,                0.82602,                0.36694,                0.88854,             0.00034674,             0.00034674,             0.00034674
                     26,                0.70139,                0.33527,                 0.8343,                0.93602,                0.95001,                0.98167,                0.77714,                0.80838,                0.35727,                0.88177,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69479,                0.33073,                0.83349,                0.93316,                0.95262,                 0.9815,                0.77545,                0.80942,                0.35663,                0.88188,             0.00023671,             0.00023671,             0.00023671
                     28,                 0.6922,                0.32844,                0.83228,                0.93648,                0.95384,                0.98241,                0.77197,                0.81348,                0.35564,                0.88467,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68617,                0.32428,                0.83221,                0.92906,                0.95776,                0.98161,                0.77115,                0.81241,                0.35664,                0.88364,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68366,                0.32234,                0.83133,                 0.9474,                0.93936,                0.98192,                0.77738,                0.80496,                0.34975,                0.88095,             7.1681e-05,             7.1681e-05,             7.1681e-05
