                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1084,                0.98561,                0.93205,                0.78789,                0.85701,                0.88313,                0.57502,                  1.122,                 0.6779,                0.94589,             0.00055483,             0.00055483,             0.00055483
                      2,                0.91451,                0.52759,                0.87195,                0.81284,                0.87918,                0.91268,                0.60202,                 1.0993,                0.61189,                0.93986,              0.0010739,              0.0010739,              0.0010739
                      3,                0.89365,                0.49215,                0.86748,                0.83498,                0.85101,                0.90625,                0.60784,                 1.0735,                0.61955,                0.93633,              0.0015562,              0.0015562,              0.0015562
                      4,                0.86485,                0.46577,                0.86168,                0.81729,                0.88544,                0.91245,                0.61696,                 1.0488,                0.59363,                0.93107,               0.001502,               0.001502,               0.001502
                      5,                0.84779,                  0.449,                0.85847,                0.82795,                0.87554,                0.91674,                0.62894,                 1.0499,                0.58271,                0.92517,               0.001447,               0.001447,               0.001447
                      6,                0.83593,                0.43869,                0.85618,                0.85951,                0.87239,                0.93264,                0.64583,                 1.0126,                 0.5589,                0.91527,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82881,                  0.431,                0.85411,                0.84299,                 0.8615,                0.92862,                0.64703,                0.99241,                 0.5434,                0.91311,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81738,                0.42201,                0.85279,                 0.8552,                0.85963,                0.92775,                0.63751,                 1.0638,                0.55966,                0.93845,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80667,                0.41516,                0.85063,                0.85538,                0.89169,                0.93643,                0.66517,                0.97723,                0.51986,                0.90709,              0.0012269,              0.0012269,              0.0012269
                     10,                0.80022,                0.40934,                0.84938,                0.86062,                0.88623,                0.93698,                 0.6691,                0.98408,                0.50845,                0.90977,              0.0011719,              0.0011719,              0.0011719
                     11,                0.79198,                0.40315,                0.84777,                0.85504,                0.90066,                0.93712,                0.66132,                0.97973,                0.51352,                0.90688,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78564,                0.39871,                  0.847,                0.85535,                 0.8856,                0.93384,                0.67176,                0.97265,                0.51385,                0.90766,              0.0010619,              0.0010619,              0.0010619
                     13,                0.78131,                0.39501,                 0.8461,                0.86759,                0.89503,                 0.9406,                0.66994,                0.96153,                 0.4986,                 0.9006,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77381,                0.38989,                0.84561,                0.87052,                0.87719,                0.93744,                0.67657,                0.95053,                0.50122,                0.90509,             0.00095186,             0.00095186,             0.00095186
                     15,                 0.7701,                0.38697,                0.84471,                0.85682,                0.86337,                 0.9333,                0.66578,                0.98631,                0.50932,                0.91648,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76478,                0.38226,                0.84336,                0.87992,                0.88754,                0.94483,                 0.6782,                 0.9615,                0.49241,                0.90286,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76035,                0.38052,                0.84277,                0.85861,                0.90344,                0.94255,                0.67814,                0.95471,                 0.4934,                0.90133,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75569,                0.37692,                0.84224,                0.87812,                0.88169,                0.94439,                0.68754,                0.93537,                0.48161,                0.89826,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75027,                0.37207,                0.84114,                0.86475,                0.89275,                0.94108,                0.68902,                0.92958,                0.47823,                0.89837,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74746,                0.37009,                0.84037,                0.86193,                0.89545,                0.94306,                0.69072,                0.92859,                0.47746,                  0.896,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73062,                0.35704,                0.83974,                 0.8647,                0.89127,                0.94167,                0.68541,                0.93372,                 0.4765,                0.89635,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72029,                0.34969,                0.83797,                0.86722,                0.89171,                0.94449,                 0.6922,                 0.9271,                0.47512,                0.89579,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71503,                0.34588,                0.83656,                0.86273,                0.90348,                 0.9449,                0.69737,                0.91758,                0.46964,                0.89393,             0.00045676,             0.00045676,             0.00045676
                     24,                0.70823,                0.34047,                0.83521,                0.87653,                0.89347,                0.94621,                0.69598,                0.91939,                 0.4675,                 0.8955,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70469,                0.33819,                0.83397,                0.88007,                0.88847,                0.94479,                0.69705,                0.91706,                0.46478,                0.89518,             0.00034674,             0.00034674,             0.00034674
                     26,                 0.6978,                0.33382,                0.83426,                0.87628,                0.89843,                0.94811,                0.70075,                0.92213,                  0.462,                0.89499,             0.00029172,             0.00029172,             0.00029172
                     27,                 0.6959,                0.33188,                0.83276,                0.88028,                0.89195,                 0.9468,                0.70247,                 0.9104,                 0.4582,                0.89324,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69048,                0.32754,                 0.8325,                0.88468,                0.89565,                0.94916,                 0.7055,                0.90621,                0.45304,                0.89196,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68599,                0.32472,                0.83236,                0.88447,                0.89178,                0.94774,                0.70619,                0.89958,                0.45169,                0.89181,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68192,                0.32143,                0.83079,                0.88198,                0.89271,                0.94888,                0.70912,                0.89312,                0.44985,                0.88834,             7.1681e-05,             7.1681e-05,             7.1681e-05
