                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1465,                 1.0348,                0.94394,                 0.9523,                0.94328,                0.97419,                0.74021,                0.79968,                0.49581,                0.84953,             0.00055469,             0.00055469,             0.00055469
                      2,                 0.9499,                0.55897,                0.88249,                0.95719,                0.95545,                0.98369,                 0.7667,                0.77669,                0.43615,                0.84433,              0.0010737,              0.0010737,              0.0010737
                      3,                0.91632,                0.51097,                0.87579,                0.95717,                0.95857,                0.98442,                0.77215,                0.78618,                0.41886,                0.84589,              0.0015561,              0.0015561,              0.0015561
                      4,                0.89329,                0.48712,                0.87154,                0.96002,                0.95796,                0.98495,                0.77902,                 0.7382,                0.40306,                0.83737,               0.001502,               0.001502,               0.001502
                      5,                0.87645,                0.46725,                0.86674,                0.96043,                0.96178,                0.98609,                0.77685,                0.76287,                0.38859,                0.84036,               0.001447,               0.001447,               0.001447
                      6,                0.85874,                0.45408,                0.86415,                0.96176,                0.96417,                0.98724,                0.79321,                0.71179,                0.36465,                  0.832,              0.0013919,              0.0013919,              0.0013919
                      7,                0.84628,                0.44289,                 0.8612,                0.95773,                0.96168,                 0.9858,                0.78885,                0.72919,                 0.3703,                0.83318,              0.0013369,              0.0013369,              0.0013369
                      8,                 0.8354,                0.43463,                0.85898,                0.96195,                0.96492,                0.98761,                0.79836,                0.69879,                0.35118,                0.82938,              0.0012819,              0.0012819,              0.0012819
                      9,                0.82931,                0.43026,                0.85762,                0.96191,                0.96181,                0.98787,                0.80088,                0.70664,                 0.3485,                0.83078,              0.0012269,              0.0012269,              0.0012269
                     10,                0.81767,                0.42067,                0.85501,                0.96416,                0.96136,                0.98943,                0.80272,                0.70032,                 0.3455,                0.82884,              0.0011719,              0.0011719,              0.0011719
                     11,                 0.8169,                0.41795,                 0.8553,                0.96408,                0.96458,                0.98924,                0.80361,                0.69884,                0.34248,                0.83043,              0.0011169,              0.0011169,              0.0011169
                     12,                0.81312,                0.41444,                0.85434,                0.96514,                0.96341,                0.98914,                0.80642,                0.68844,                0.33753,                0.82698,              0.0010619,              0.0010619,              0.0010619
                     13,                0.80001,                0.40767,                0.85129,                0.96513,                0.96442,                0.99034,                0.81249,                0.68257,                 0.3342,                0.82663,              0.0010069,              0.0010069,              0.0010069
                     14,                0.79823,                0.40419,                0.85147,                0.96337,                0.96477,                0.98952,                0.80697,                0.69246,                0.33374,                0.82685,             0.00095186,             0.00095186,             0.00095186
                     15,                0.78984,                0.39827,                0.84988,                0.96614,                 0.9655,                0.99063,                0.81696,                0.67537,                0.32633,                0.82487,             0.00089685,             0.00089685,             0.00089685
                     16,                0.78616,                0.39704,                 0.8504,                0.96292,                0.96504,                0.99011,                0.80933,                0.68625,                0.32997,                0.82577,             0.00084184,             0.00084184,             0.00084184
                     17,                0.78496,                0.39256,                0.84844,                0.96508,                0.96553,                0.99037,                0.81867,                0.66329,                0.31895,                0.82333,             0.00078682,             0.00078682,             0.00078682
                     18,                0.77592,                0.38903,                0.84767,                0.96451,                0.96513,                0.99028,                 0.8139,                 0.6726,                0.31994,                0.82388,             0.00073181,             0.00073181,             0.00073181
                     19,                0.77235,                0.38674,                0.84769,                0.96743,                0.96615,                0.99101,                0.81865,                0.66803,                0.31639,                0.82348,              0.0006768,              0.0006768,              0.0006768
                     20,                0.76817,                0.38333,                0.84603,                 0.9663,                0.96584,                0.99085,                0.82074,                0.65922,                0.31564,                 0.8223,             0.00062179,             0.00062179,             0.00062179
                     21,                0.75121,                0.36935,                0.84502,                0.96598,                0.96633,                0.99066,                0.82044,                0.65509,                0.31676,                0.82129,             0.00056678,             0.00056678,             0.00056678
                     22,                0.73968,                0.36077,                0.84324,                0.96729,                 0.9671,                 0.9911,                0.82713,                0.64729,                0.31015,                 0.8207,             0.00051177,             0.00051177,             0.00051177
                     23,                0.73359,                0.35688,                0.84194,                0.96812,                0.96668,                0.99115,                0.82389,                0.64936,                 0.3105,                 0.8213,             0.00045676,             0.00045676,             0.00045676
                     24,                0.73074,                0.35357,                 0.8414,                0.96707,                0.96773,                0.99122,                0.82649,                0.64765,                 0.3079,                0.82054,             0.00040175,             0.00040175,             0.00040175
                     25,                0.72243,                0.34925,                0.84026,                0.96777,                0.96649,                 0.9912,                0.82763,                0.64311,                0.30429,                0.81987,             0.00034674,             0.00034674,             0.00034674
                     26,                0.71897,                0.34569,                0.83944,                0.96763,                0.96762,                0.99121,                0.82627,                 0.6427,                0.30244,                0.81966,             0.00029172,             0.00029172,             0.00029172
                     27,                0.71173,                0.34082,                0.83793,                0.96801,                0.96761,                0.99141,                 0.8296,                0.63894,                0.30058,                0.81925,             0.00023671,             0.00023671,             0.00023671
                     28,                0.70751,                0.33815,                0.83789,                0.96874,                0.96752,                0.99154,                0.83023,                0.63676,                0.29829,                0.81936,              0.0001817,              0.0001817,              0.0001817
                     29,                0.70269,                0.33482,                0.83667,                0.96797,                0.96775,                0.99135,                0.83113,                0.63493,                0.29722,                0.81863,             0.00012669,             0.00012669,             0.00012669
                     30,                0.69955,                0.33226,                0.83545,                0.96906,                0.96757,                 0.9915,                0.83189,                0.63261,                0.29555,                0.81831,             7.1681e-05,             7.1681e-05,             7.1681e-05
