                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1126,                 0.9911,                0.93173,                0.84513,                0.85881,                0.90615,                0.63036,                 1.0631,                0.69615,                0.91788,             0.00055483,             0.00055483,             0.00055483
                      2,                0.92328,                 0.5324,                0.87392,                0.85482,                0.86936,                0.93024,                  0.663,                0.99862,                0.61881,                0.90651,              0.0010738,              0.0010738,              0.0010738
                      3,                 0.8902,                0.49262,                0.86747,                0.87047,                0.87033,                0.93454,                0.67161,                 1.0176,                 0.5923,                0.91426,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87374,                0.46988,                0.86337,                 0.8617,                0.88635,                0.93608,                0.68478,                0.96611,                0.55583,                0.89756,               0.001502,               0.001502,               0.001502
                      5,                0.85078,                0.45227,                0.85952,                0.85928,                0.90361,                0.94591,                0.69374,                0.94706,                0.54372,                0.89265,               0.001447,               0.001447,               0.001447
                      6,                0.83751,                0.43888,                0.85619,                0.86697,                0.90231,                0.94886,                0.69667,                0.95878,                0.53479,                0.90033,              0.0013919,              0.0013919,              0.0013919
                      7,                 0.8214,                0.42729,                 0.8532,                0.86431,                0.90174,                 0.9457,                0.70066,                 0.9515,                0.52227,                0.89539,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81208,                0.41865,                0.85185,                0.86486,                0.91341,                0.95171,                0.71042,                0.93182,                0.50109,                0.89089,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80605,                0.41411,                0.85096,                0.87051,                0.89568,                0.94954,                0.69854,                0.95819,                0.52147,                0.89665,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79936,                0.40773,                0.84957,                0.87444,                0.89896,                0.95141,                0.71038,                 0.9216,                0.49536,                0.88746,              0.0011719,              0.0011719,              0.0011719
                     11,                0.79109,                0.40255,                0.84762,                0.88592,                0.89915,                0.95293,                0.71409,                0.91516,                0.49935,                0.88792,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78549,                0.39889,                0.84732,                0.88507,                0.89514,                0.95313,                 0.7156,                0.92471,                0.49585,                0.88897,              0.0010619,              0.0010619,              0.0010619
                     13,                0.77802,                0.39323,                0.84569,                0.87159,                0.90742,                0.95195,                0.71442,                0.92622,                0.50043,                0.88967,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77275,                0.38907,                 0.8455,                0.87641,                0.90365,                0.95357,                0.72104,                0.90906,                0.48616,                0.88625,             0.00095186,             0.00095186,             0.00095186
                     15,                0.76705,                0.38519,                0.84367,                0.87004,                0.91434,                0.95367,                 0.7176,                0.91598,                0.48192,                0.88818,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76685,                0.38394,                0.84404,                0.87998,                0.90709,                0.95427,                0.72076,                0.90806,                0.47504,                0.88726,             0.00084184,             0.00084184,             0.00084184
                     17,                 0.7596,                0.38019,                 0.8426,                0.87027,                0.90775,                0.95345,                0.72383,                0.89689,                0.47725,                0.88553,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75763,                0.37775,                0.84247,                0.86982,                0.92251,                0.95697,                0.72336,                0.90572,                0.47301,                0.88387,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75342,                0.37434,                0.84182,                0.88721,                0.90169,                 0.9562,                0.72564,                0.88978,                0.46896,                0.88407,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74946,                0.37093,                0.84066,                0.87438,                0.92104,                0.95702,                0.73009,                0.88041,                 0.4647,                0.88132,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73308,                0.35689,                0.83963,                0.87691,                0.90524,                0.95413,                0.72606,                0.89773,                0.47211,                 0.8887,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72106,                0.34977,                0.83742,                 0.8939,                0.89218,                0.95683,                0.73157,                0.88234,                0.45715,                0.88445,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71549,                 0.3469,                0.83676,                0.88758,                0.90274,                0.95766,                0.73573,                0.87558,                0.45661,                0.88066,             0.00045676,             0.00045676,             0.00045676
                     24,                  0.708,                0.34122,                0.83532,                0.88032,                0.90556,                0.95733,                0.73474,                0.88054,                0.45584,                0.88268,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70398,                0.33811,                0.83424,                0.88108,                0.90407,                0.95733,                0.73505,                0.87662,                0.45427,                 0.8816,             0.00034674,             0.00034674,             0.00034674
                     26,                0.69925,                0.33491,                0.83369,                0.89137,                0.89902,                0.95826,                0.73626,                0.87821,                0.45151,                0.88298,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69458,                0.33104,                0.83342,                0.89462,                0.89695,                0.95915,                0.73862,                0.87246,                0.44657,                0.88074,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69033,                0.32772,                0.83221,                0.88965,                0.90842,                0.96086,                0.74145,                0.86741,                0.44431,                0.87893,              0.0001817,              0.0001817,              0.0001817
                     29,                  0.686,                0.32496,                0.83213,                0.89319,                0.90391,                0.96108,                  0.742,                0.86844,                0.44252,                 0.8801,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68203,                0.32224,                0.83127,                0.89394,                0.90208,                0.95995,                0.74329,                 0.8633,                0.44257,                0.87886,             7.1681e-05,             7.1681e-05,             7.1681e-05
