                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1032,                0.99254,                0.92955,                0.93755,                0.91625,                0.96532,                0.67592,                 1.0563,                 0.6006,                 0.9526,             0.00055478,             0.00055478,             0.00055478
                      2,                0.92159,                0.53447,                0.87166,                0.94403,                0.91565,                0.97001,                0.68313,                 1.1038,                0.55909,                0.97646,              0.0010738,              0.0010738,              0.0010738
                      3,                0.89056,                0.49413,                0.86514,                0.94842,                0.92423,                0.97575,                0.69743,                 1.0165,                0.50049,                0.94862,              0.0015562,              0.0015562,              0.0015562
                      4,                0.86912,                 0.4687,                0.86082,                0.93965,                0.90352,                0.96444,                 0.6826,                 1.0872,                0.56534,                0.97247,               0.001502,               0.001502,               0.001502
                      5,                0.84693,                   0.45,                 0.8569,                0.94334,                0.93302,                0.97528,                0.73208,                0.95264,                0.47079,                0.93152,               0.001447,               0.001447,               0.001447
                      6,                0.83217,                0.43607,                0.85326,                0.94595,                0.92156,                0.97256,                0.71723,                0.98821,                0.47935,                0.94191,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82401,                0.42778,                0.85172,                0.94183,                0.90002,                0.96474,                0.70761,                  1.013,                0.54326,                0.95241,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81332,                0.42056,                0.85048,                0.94706,                0.92608,                0.97621,                0.73842,                0.93523,                0.47096,                 0.9269,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80121,                0.41189,                0.84808,                0.93576,                0.89867,                0.96587,                0.70244,                 1.0439,                 0.5454,                0.96524,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79419,                 0.4067,                0.84635,                0.95159,                0.93303,                 0.9797,                0.72143,                 1.0093,                0.45061,                0.94957,              0.0011719,              0.0011719,              0.0011719
                     11,                0.78968,                0.40239,                0.84659,                0.94968,                0.93586,                0.98044,                0.75717,                0.89254,                0.43173,                0.91123,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78241,                0.39685,                0.84453,                0.94978,                0.92913,                0.98003,                0.75758,                0.89361,                0.43442,                0.91288,              0.0010619,              0.0010619,              0.0010619
                     13,                0.77512,                0.39226,                0.84375,                0.94434,                0.93227,                0.97908,                0.75059,                0.91407,                0.44335,                 0.9176,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77214,                0.38814,                0.84331,                 0.9528,                0.94344,                0.98504,                0.76659,                0.88159,                0.39779,                0.90729,             0.00095186,             0.00095186,             0.00095186
                     15,                0.76596,                0.38515,                0.84229,                0.95156,                0.93625,                0.98133,                0.75885,                 0.8789,                0.41244,                0.90854,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76182,                0.38084,                0.84166,                 0.9524,                0.94341,                0.98479,                0.76569,                0.87343,                0.39605,                0.90547,             0.00084184,             0.00084184,             0.00084184
                     17,                0.75734,                0.37833,                0.84102,                0.95396,                0.93943,                0.98369,                0.76733,                0.87183,                0.40523,                0.90606,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75191,                0.37529,                0.84038,                0.95111,                0.94528,                0.98418,                0.76886,                0.85694,                0.38812,                0.90132,             0.00073181,             0.00073181,             0.00073181
                     19,                0.74752,                0.37188,                0.83948,                0.95544,                0.94228,                0.98534,                0.76474,                0.88072,                0.39207,                0.90719,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74405,                0.36804,                0.83854,                 0.9575,                0.94274,                 0.9859,                0.77354,                0.85243,                0.38699,                0.89966,             0.00062179,             0.00062179,             0.00062179
                     21,                0.72877,                0.35609,                0.83813,                0.94878,                0.94215,                0.98367,                0.75453,                0.91452,                0.41035,                0.91871,             0.00056678,             0.00056678,             0.00056678
                     22,                0.71679,                0.34728,                0.83625,                0.94861,                0.92857,                0.98149,                0.76892,                 0.8707,                0.42286,                0.90752,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71306,                 0.3449,                0.83535,                0.95293,                0.93787,                 0.9838,                0.77103,                0.86881,                0.39694,                0.90707,             0.00045676,             0.00045676,             0.00045676
                     24,                0.70771,                 0.3416,                0.83408,                0.94916,                0.93712,                0.98288,                0.77477,                0.85222,                0.40234,                0.90221,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70305,                0.33761,                0.83356,                0.95073,                0.93779,                0.98328,                0.77238,                0.85905,                0.39777,                0.90417,             0.00034674,             0.00034674,             0.00034674
                     26,                0.69697,                0.33384,                0.83266,                0.95418,                0.94337,                0.98533,                0.77795,                0.85286,                0.38308,                0.89924,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69322,                0.33078,                0.83179,                0.95302,                0.94632,                0.98606,                 0.7787,                0.84931,                0.37737,                0.89855,             0.00023671,             0.00023671,             0.00023671
                     28,                0.68959,                0.32773,                0.83119,                0.95384,                 0.9471,                0.98621,                0.78391,                0.83022,                0.37261,                0.89375,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68559,                0.32483,                0.83047,                0.95348,                0.94724,                0.98634,                0.78375,                0.83697,                0.37047,                0.89545,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68024,                0.32063,                0.82975,                0.95674,                0.94424,                0.98648,                0.78733,                0.82618,                 0.3661,                0.89254,             7.1681e-05,             7.1681e-05,             7.1681e-05
