                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1155,                0.99711,                0.93327,                0.95249,                0.94569,                0.97771,                0.72383,                0.89424,                0.48909,                0.88085,             0.00055479,             0.00055479,             0.00055479
                      2,                0.92145,                0.53441,                0.87407,                0.95052,                 0.9543,                0.97883,                0.73347,                0.85632,                0.45662,                0.87144,              0.0010738,              0.0010738,              0.0010738
                      3,                0.89485,                0.49624,                 0.8686,                0.95762,                0.95665,                0.98518,                0.75641,                0.80845,                0.41402,                0.86194,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87057,                0.46898,                0.86297,                0.95592,                0.96044,                0.98761,                0.75977,                0.81501,                0.40673,                0.86246,               0.001502,               0.001502,               0.001502
                      5,                 0.8539,                0.45371,                0.86055,                0.96035,                0.95885,                0.98775,                0.76872,                0.78284,                0.38835,                0.85353,               0.001447,               0.001447,               0.001447
                      6,                0.84188,                0.44273,                0.85793,                0.95748,                0.95878,                0.98756,                0.76789,                0.79809,                0.39518,                0.85871,              0.0013919,              0.0013919,              0.0013919
                      7,                 0.8289,                0.43352,                0.85542,                0.96038,                0.96175,                0.98862,                0.78413,                0.75881,                0.37109,                0.85145,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81721,                0.42299,                0.85302,                0.96388,                0.95915,                0.98908,                0.78108,                0.76601,                0.36955,                0.85112,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80842,                 0.4169,                0.85104,                0.96291,                0.96159,                0.98971,                0.78646,                0.74705,                0.36132,                0.84781,              0.0012269,              0.0012269,              0.0012269
                     10,                0.80107,                0.41093,                0.85005,                0.96386,                0.96272,                0.99063,                0.78859,                0.75454,                0.35487,                0.84813,              0.0011719,              0.0011719,              0.0011719
                     11,                0.79518,                0.40579,                0.84925,                0.96448,                0.96188,                0.99016,                0.79405,                0.72953,                0.34462,                0.84392,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78733,                0.39899,                 0.8474,                0.96386,                0.96149,                0.98934,                0.79109,                0.73965,                0.34996,                0.84571,              0.0010619,              0.0010619,              0.0010619
                     13,                0.78543,                0.39837,                0.84734,                0.96475,                0.96266,                0.99018,                0.79629,                0.73121,                0.34057,                0.84455,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77456,                0.39233,                0.84572,                0.96649,                0.96055,                0.99005,                0.79522,                0.73774,                0.34138,                0.84434,             0.00095186,             0.00095186,             0.00095186
                     15,                0.77315,                0.38902,                0.84527,                0.96412,                0.96479,                0.99079,                0.80345,                 0.7093,                0.33052,                0.83956,             0.00089685,             0.00089685,             0.00089685
                     16,                 0.7662,                0.38395,                0.84387,                0.96679,                0.96505,                0.99117,                0.80037,                0.71908,                0.33036,                0.84202,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76431,                0.38315,                0.84385,                0.96566,                0.96102,                0.99026,                0.79919,                0.72121,                 0.3311,                0.84148,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75975,                0.37926,                0.84271,                 0.9645,                0.96355,                0.99072,                0.80107,                0.71645,                0.32864,                0.84038,             0.00073181,             0.00073181,             0.00073181
                     19,                 0.7543,                0.37581,                0.84222,                0.96429,                  0.964,                 0.9907,                0.81048,                0.69424,                 0.3229,                0.83726,              0.0006768,              0.0006768,              0.0006768
                     20,                0.75282,                0.37274,                 0.8414,                0.96526,                0.96453,                0.99077,                0.80517,                0.71161,                0.32316,                0.84012,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73498,                0.35973,                0.84086,                0.96444,                0.96416,                0.99076,                0.80648,                0.70954,                0.32412,                0.83951,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72267,                 0.3529,                0.83864,                0.96605,                0.96308,                0.99103,                 0.8121,                 0.6936,                0.31898,                0.83699,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71802,                0.34812,                0.83774,                0.96613,                0.96503,                0.99119,                0.81174,                0.68755,                0.31507,                0.83493,             0.00045676,             0.00045676,             0.00045676
                     24,                0.71129,                0.34351,                0.83626,                0.96851,                0.96423,                0.99156,                0.81331,                0.69016,                0.31169,                0.83666,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70624,                0.34023,                0.83572,                0.96646,                0.96561,                0.99146,                0.81612,                0.67933,                0.30883,                0.83448,             0.00034674,             0.00034674,             0.00034674
                     26,                 0.7026,                0.33643,                0.83503,                0.97017,                 0.9645,                 0.9917,                0.81938,                 0.6751,                0.30433,                0.83378,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69775,                0.33361,                0.83341,                0.96949,                0.96472,                0.99165,                0.81827,                0.67468,                 0.3039,                0.83328,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69328,                0.33056,                0.83337,                0.96735,                0.96587,                0.99157,                0.81915,                0.67316,                0.30267,                0.83292,              0.0001817,              0.0001817,              0.0001817
                     29,                0.69061,                0.32761,                0.83224,                0.96992,                0.96484,                0.99169,                0.82034,                0.67182,                0.30048,                0.83305,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68547,                0.32425,                0.83154,                0.96999,                0.96472,                0.99176,                0.82033,                0.67222,                0.29956,                0.83311,             7.1681e-05,             7.1681e-05,             7.1681e-05
