                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1081,                0.98646,                0.93157,                0.46783,                0.62351,                0.55063,                0.36326,                 1.1029,                0.62203,                 0.9657,             0.00055483,             0.00055483,             0.00055483
                      2,                0.92413,                 0.5329,                0.87419,                0.58347,                0.52623,                0.55123,                0.36775,                 1.0784,                0.63424,                0.94262,              0.0010739,              0.0010739,              0.0010739
                      3,                0.89519,                0.49403,                0.86822,                0.68814,                0.60485,                0.58363,                0.39888,                 1.0366,                0.52086,                0.93719,              0.0015562,              0.0015562,              0.0015562
                      4,                0.86983,                0.46946,                0.86264,                0.57057,                0.62183,                0.55268,                0.37604,                 1.0718,                 0.4834,                0.96783,               0.001502,               0.001502,               0.001502
                      5,                0.84518,                 0.4494,                 0.8581,                0.49712,                0.71401,                0.51814,                 0.3586,                 1.0848,                0.49713,                0.95982,               0.001447,               0.001447,               0.001447
                      6,                0.83621,                0.43879,                0.85601,                0.54843,                0.57225,                0.56694,                0.38727,                 1.0551,                 0.4782,                0.95598,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82985,                0.43149,                0.85447,                0.55861,                0.62287,                0.54022,                0.37333,                 1.0235,                0.46355,                   0.95,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81526,                0.42023,                0.85191,                0.53292,                0.62341,                0.53952,                0.37034,                 1.0264,                0.45021,                0.95741,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80564,                0.41394,                0.85078,                0.54304,                0.67021,                0.54771,                 0.3695,                 1.0291,                0.45785,                0.95673,              0.0012269,              0.0012269,              0.0012269
                     10,                0.80196,                0.40959,                0.84998,                0.52145,                0.76444,                0.54172,                0.38035,                 1.0093,                0.43906,                0.94368,              0.0011719,              0.0011719,              0.0011719
                     11,                0.78873,                0.40056,                0.84712,                0.49224,                0.67062,                0.51826,                0.37235,                 1.0123,                 0.4445,                0.93869,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78501,                0.39856,                0.84717,                0.55941,                0.57267,                0.52693,                0.37848,                 1.0277,                0.43731,                0.93945,              0.0010619,              0.0010619,              0.0010619
                     13,                0.78185,                0.39399,                0.84606,                0.51495,                0.66763,                0.51834,                0.37465,                0.99117,                0.42612,                0.94211,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77492,                0.39026,                0.84597,                0.52636,                0.62145,                0.52556,                0.38556,                0.98601,                0.42742,                0.93354,             0.00095186,             0.00095186,             0.00095186
                     15,                0.76929,                0.38735,                0.84393,                0.50292,                0.67508,                0.54508,                0.37973,                 1.0229,                0.42619,                0.95312,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76535,                 0.3838,                0.84399,                0.55335,                0.66565,                  0.536,                0.39094,                0.97934,                0.43547,                 0.9294,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76363,                 0.3817,                 0.8435,                0.60483,                0.52506,                0.53024,                0.38711,                 1.0026,                0.42206,                0.93704,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75496,                0.37744,                0.84195,                0.51002,                0.58096,                0.52594,                0.37467,                   1.03,                0.41763,                0.95039,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75385,                0.37471,                0.84202,                0.53262,                0.62558,                0.53005,                0.38969,                0.97903,                0.40283,                0.93686,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74991,                0.37229,                0.84079,                0.56299,                0.62517,                0.53844,                 0.3899,                0.98547,                 0.4127,                0.93641,             0.00062179,             0.00062179,             0.00062179
                     21,                0.72891,                0.35584,                0.83917,                0.56194,                0.53081,                0.52508,                0.38774,                0.97543,                0.41484,                0.93068,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72133,                0.35051,                0.83703,                 0.5557,                0.67228,                 0.5398,                0.38863,                 0.9775,                0.41201,                0.93792,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71489,                0.34593,                0.83676,                0.53928,                0.62683,                0.55337,                0.40285,                0.99006,                0.40446,                0.93276,             0.00045676,             0.00045676,             0.00045676
                     24,                0.70785,                0.34101,                0.83588,                0.52891,                0.62807,                0.53531,                0.38384,                0.99675,                0.39784,                0.94865,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70429,                0.33832,                0.83463,                0.59199,                0.67228,                0.56021,                0.40181,                0.96591,                0.39144,                 0.9365,             0.00034674,             0.00034674,             0.00034674
                     26,                0.69953,                0.33491,                0.83403,                0.57257,                0.62227,                0.54818,                0.39448,                0.98487,                0.40659,                0.93327,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69448,                0.33169,                0.83348,                0.55735,                0.67311,                0.54372,                0.39586,                0.99629,                0.39886,                0.93776,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69051,                0.32811,                0.83269,                0.55237,                0.62393,                0.54433,                0.39922,                0.97662,                0.39207,                0.93243,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68556,                0.32431,                0.83142,                0.59352,                0.62227,                0.55545,                0.39988,                0.98012,                0.39088,                0.93387,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68295,                0.32211,                0.83101,                0.58477,                0.62393,                0.54734,                0.39657,                0.97768,                0.38683,                0.93315,             7.1681e-05,             7.1681e-05,             7.1681e-05
