                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1105,                0.98923,                0.93073,                 0.8972,                0.90237,                0.94899,                0.67372,                 1.0078,                0.62411,                0.93833,             0.00055482,             0.00055482,             0.00055482
                      2,                0.91928,                0.53167,                0.87266,                0.90228,                0.89041,                 0.9491,                0.68031,                0.99082,                0.65742,                0.94517,              0.0010738,              0.0010738,              0.0010738
                      3,                0.88641,                 0.4887,                0.86577,                0.91705,                0.90559,                0.96456,                0.72372,                0.89826,                0.52216,                0.90567,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87044,                 0.4682,                0.86253,                0.91661,                0.92367,                0.97046,                0.72374,                0.91309,                0.48708,                0.90899,               0.001502,               0.001502,               0.001502
                      5,                0.84818,                0.45017,                 0.8584,                0.91585,                0.92803,                0.97401,                  0.743,                0.88394,                0.45997,                0.90099,               0.001447,               0.001447,               0.001447
                      6,                0.83199,                0.43297,                0.85517,                0.91972,                0.92392,                0.97405,                 0.7454,                0.87562,                0.46028,                0.89763,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82345,                0.42887,                0.85332,                0.91249,                0.92903,                0.97291,                 0.7412,                0.88753,                0.45651,                0.90055,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81586,                0.41945,                0.85204,                0.92136,                0.92253,                0.97486,                0.74473,                0.88123,                0.45487,                  0.902,              0.0012819,              0.0012819,              0.0012819
                      9,                0.80674,                 0.4151,                0.85031,                0.91281,                0.92289,                0.97341,                0.75002,                0.85875,                0.44483,                0.89339,              0.0012269,              0.0012269,              0.0012269
                     10,                 0.7954,                0.40756,                0.84818,                0.91984,                0.93105,                0.97465,                0.74719,                0.88945,                0.44417,                0.90385,              0.0011719,              0.0011719,              0.0011719
                     11,                0.79046,                0.40068,                0.84725,                0.91716,                 0.9383,                 0.9765,                0.75674,                0.84759,                0.42575,                0.89179,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78595,                0.39809,                0.84665,                0.92094,                0.92852,                0.97614,                 0.7626,                0.84158,                0.43037,                0.88919,              0.0010619,              0.0010619,              0.0010619
                     13,                0.78044,                0.39314,                 0.8462,                0.92136,                0.93206,                0.97565,                0.75614,                0.85536,                0.42685,                0.89228,              0.0010069,              0.0010069,              0.0010069
                     14,                 0.7718,                0.38943,                0.84489,                0.92167,                0.93506,                0.97605,                0.76189,                0.84339,                0.42051,                0.88985,             0.00095186,             0.00095186,             0.00095186
                     15,                0.77004,                0.38577,                0.84371,                0.92518,                0.93302,                0.97707,                 0.7657,                0.83592,                0.40791,                0.88768,             0.00089685,             0.00089685,             0.00089685
                     16,                0.76142,                0.38113,                0.84258,                0.92551,                0.92711,                0.97573,                0.76275,                0.84096,                0.41449,                 0.8883,             0.00084184,             0.00084184,             0.00084184
                     17,                0.75938,                 0.3785,                 0.8422,                0.92155,                0.93163,                 0.9763,                0.76403,                0.82829,                0.40925,                0.88627,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75389,                0.37525,                0.84155,                0.91703,                0.94127,                0.97795,                0.76761,                0.83111,                0.40031,                0.88689,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75428,                0.37396,                0.84221,                0.92598,                0.93227,                0.97686,                0.77109,                0.81847,                 0.4103,                0.88341,              0.0006768,              0.0006768,              0.0006768
                     20,                0.75087,                0.37128,                0.84066,                0.92848,                 0.9315,                0.97779,                 0.7695,                0.82276,                 0.3963,                 0.8846,             0.00062179,             0.00062179,             0.00062179
                     21,                  0.729,                 0.3552,                0.83897,                0.92467,                0.93765,                0.97809,                0.77267,                0.81492,                0.40226,                0.88186,             0.00056678,             0.00056678,             0.00056678
                     22,                 0.7204,                0.34891,                0.83765,                0.92555,                0.93418,                0.97873,                0.77557,                0.81325,                0.38888,                0.88226,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71555,                0.34521,                0.83656,                0.92358,                0.93847,                0.97863,                 0.7772,                0.80741,                0.38655,                0.88035,             0.00045676,             0.00045676,             0.00045676
                     24,                0.70852,                0.34076,                0.83577,                0.92591,                0.93572,                0.97906,                0.77823,                0.80684,                0.39304,                0.88059,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70415,                0.33719,                0.83459,                0.93121,                  0.932,                0.97908,                0.77928,                0.80141,                0.38781,                 0.8792,             0.00034674,             0.00034674,             0.00034674
                     26,                 0.6978,                0.33333,                0.83376,                0.92945,                0.93494,                0.97906,                0.78153,                0.79466,                0.38387,                0.87729,             0.00029172,             0.00029172,             0.00029172
                     27,                0.69538,                0.33087,                0.83277,                 0.9299,                0.93485,                0.97943,                0.78178,                0.79309,                0.37906,                0.87678,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69158,                0.32846,                0.83229,                0.92806,                0.93824,                0.97941,                0.78364,                0.79016,                0.37571,                0.87623,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68553,                0.32394,                0.83171,                0.92955,                0.93651,                0.97941,                0.78356,                0.79203,                0.37728,                0.87687,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68144,                0.32128,                0.83075,                0.92956,                0.93716,                0.97954,                0.78473,                0.78682,                0.37325,                0.87564,             7.1681e-05,             7.1681e-05,             7.1681e-05
