                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4671,                 2.4577,                 1.8257,                0.88926,                0.87229,                0.93809,                 0.7049,                 1.9154,                 1.1387,                 1.7508,             0.00055463,             0.00055463,             0.00055463
                      2,                 2.0503,                  1.133,                 1.7225,                0.92806,                0.91707,                0.96771,                 0.7343,                 1.8791,                0.92443,                 1.7505,              0.0010737,              0.0010737,              0.0010737
                      3,                 1.9897,                 1.0102,                 1.7136,                0.93272,                0.92538,                0.97122,                0.74467,                 1.8285,                0.91647,                  1.736,               0.001556,               0.001556,               0.001556
                      4,                 1.9319,                0.93877,                 1.7037,                0.94649,                0.92908,                0.97811,                0.78065,                 1.6861,                0.78979,                 1.7061,               0.001502,               0.001502,               0.001502
                      5,                 1.8777,                0.89099,                 1.6947,                0.94379,                0.93363,                0.97927,                0.77353,                  1.715,                0.79757,                   1.71,               0.001447,               0.001447,               0.001447
                      6,                  1.838,                0.86361,                  1.688,                0.95418,                0.93989,                0.98399,                 0.7858,                 1.6489,                0.74507,                 1.6997,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.8008,                 0.8363,                 1.6832,                0.95352,                0.94235,                0.98441,                0.79082,                 1.6229,                0.72723,                 1.6947,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.7831,                0.81958,                  1.679,                0.95679,                0.94573,                0.98598,                0.79749,                 1.6097,                0.71298,                   1.69,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.7637,                0.80606,                 1.6758,                0.95444,                0.94705,                0.98554,                0.80121,                 1.5845,                0.69879,                 1.6852,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.7424,                0.79297,                 1.6732,                0.95985,                0.94675,                0.98692,                0.80743,                 1.5535,                0.67919,                 1.6805,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.7235,                0.78291,                 1.6707,                0.96024,                0.93482,                0.98378,                0.78515,                 1.6768,                0.76923,                 1.7017,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.7122,                0.77624,                 1.6679,                0.96054,                0.94878,                0.98726,                0.81175,                 1.5349,                0.66836,                  1.677,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.6932,                0.76179,                 1.6662,                0.96211,                0.95123,                0.98831,                0.80647,                 1.5555,                0.66726,                 1.6794,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.6732,                0.75103,                 1.6628,                0.96007,                0.95253,                0.98828,                0.81209,                  1.526,                0.65383,                 1.6744,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.6693,                0.74666,                 1.6627,                0.95088,                0.95853,                0.98769,                0.81077,                 1.5122,                0.66296,                 1.6729,             0.00089685,             0.00089685,             0.00089685
                     16,                  1.652,                0.73821,                 1.6592,                0.96203,                0.95242,                0.98844,                0.81575,                 1.5196,                0.64616,                 1.6736,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.6376,                0.73097,                 1.6603,                 0.9599,                0.95778,                0.98895,                  0.819,                 1.4887,                0.63762,                 1.6683,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.6269,                0.72214,                 1.6554,                0.95932,                0.95623,                0.98893,                0.81847,                 1.4879,                0.63404,                 1.6692,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.6201,                0.72003,                 1.6563,                0.96312,                0.95596,                0.98916,                0.82273,                 1.4717,                0.62253,                 1.6654,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.6054,                0.70908,                 1.6534,                0.96248,                0.95639,                0.98904,                0.82383,                 1.4616,                0.62053,                 1.6635,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.5635,                0.67099,                 1.6532,                0.95971,                0.95907,                0.98916,                 0.8239,                 1.4655,                0.62303,                 1.6655,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.5438,                0.66071,                 1.6477,                0.96412,                0.95641,                0.98954,                0.82648,                 1.4594,                0.61492,                 1.6647,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.5258,                0.64962,                 1.6461,                 0.9633,                0.96005,                 0.9899,                0.82881,                 1.4378,                 0.6052,                 1.6604,             0.00045676,             0.00045676,             0.00045676
                     24,                  1.504,                0.63878,                 1.6448,                0.96364,                0.96023,                0.98999,                0.82767,                 1.4498,                0.60231,                 1.6627,             0.00040175,             0.00040175,             0.00040175
                     25,                  1.493,                0.63001,                 1.6414,                0.96623,                0.95878,                0.98988,                0.83095,                 1.4299,                0.59709,                 1.6591,             0.00034674,             0.00034674,             0.00034674
                     26,                 1.4833,                0.62528,                 1.6414,                0.96386,                0.95989,                0.98993,                0.83155,                 1.4322,                 0.5942,                 1.6595,             0.00029172,             0.00029172,             0.00029172
                     27,                 1.4736,                  0.621,                 1.6387,                0.96412,                0.96141,                0.99011,                0.83153,                 1.4268,                0.58912,                 1.6589,             0.00023671,             0.00023671,             0.00023671
                     28,                 1.4622,                 0.6144,                 1.6364,                0.96564,                0.96021,                0.99021,                0.83323,                 1.4203,                0.58944,                 1.6574,              0.0001817,              0.0001817,              0.0001817
                     29,                 1.4461,                0.60608,                 1.6345,                0.96581,                0.96109,                 0.9904,                 0.8334,                 1.4177,                0.58183,                 1.6561,             0.00012669,             0.00012669,             0.00012669
                     30,                 1.4375,                0.60218,                 1.6346,                0.96739,                0.96031,                0.99049,                0.83443,                 1.4144,                0.57874,                 1.6565,             7.1681e-05,             7.1681e-05,             7.1681e-05
